date,outflow(m3/d),inflow(m3/d),spill(m3/d),wse(m),avg_temp(C)
1999-01-01,483075546.624,480751303.68,0.0,22.603968,5.01
1999-01-02,464236945.92,460200102.912,0.0,22.84476,4.74
1999-01-03,519651790.848,538245734.4,0.0,22.704552,4.54
1999-01-04,520703816.6016,483197875.2,0.0,22.81428,4.51
1999-01-05,486256089.6,505217018.88,0.0,22.698456,4.7
1999-01-06,499320781.5168,504727704.576,0.0,22.698456,4.93
1999-01-07,498684672.9216,501057847.296,0.0,22.963632,5.18
1999-01-08,523028059.5456,537022448.6400001,19841695.027199995,23.05812,5.29
1999-01-09,586589987.6352,581060736.0,46925241.75360001,22.988016,5.21
1999-01-10,534208891.392,542894220.2880001,3669857.28,22.82952,5.23
1999-01-11,482659629.4656,456530245.632,0.0,22.86,5.28
1999-01-12,496458292.8384,494941418.496,0.0,22.774656,5.24
1999-01-13,560998849.536,538979705.8560001,0.0,22.704552,5.19
1999-01-14,583189253.2224,566870621.1839999,0.0,22.168104000000003,5.17
1999-01-15,541915591.68,582773336.0639999,0.0,22.527768,5.27
1999-01-16,580351230.2592,576901564.416,0.0,22.73808,5.32
1999-01-17,592877676.4416,600143993.8560001,0.0,22.64664,5.33
1999-01-18,597085779.4560001,592314964.992,0.0,22.594824,5.16
1999-01-19,589036559.1552,583262650.368,0.0,22.472904000000003,5.3
1999-01-20,559579838.0544,551946534.912,0.0,22.622256,5.37
1999-01-21,577023892.992,606015765.5040001,0.0,22.658832000000004,5.39
1999-01-22,586663384.7808,602345908.224,25664535.2448,23.05812,5.38
1999-01-23,632928052.224,619716566.016,32343675.4944,23.07336,5.33
1999-01-24,607557105.5616,579348135.936,195725.7216,22.701504000000003,5.31
1999-01-25,528092462.592,546808734.72,0.0,22.707600000000003,5.22
1999-01-26,524202413.8752,527725476.864,0.0,22.625304000000003,5.07
1999-01-27,550674317.7216,552435849.2160001,0.0,22.759416,4.98
1999-01-28,589134422.016,576656907.2639999,0.0,22.591776000000003,4.91
1999-01-29,576852632.9856,534331219.96800005,0.0,22.317456,4.98
1999-01-30,568216235.52,570295821.3119999,0.0,22.274784,5.03
1999-01-31,487577238.2207999,525523562.496,0.0,22.533864000000005,4.98
1999-02-01,553756997.8368,566381306.8799999,41102401.536000006,22.795992,4.81
1999-02-02,556252500.7872,527236162.56,83697211.69919999,22.573488,4.73
1999-02-03,547616103.3216,572987049.984,95881137.8688,22.655784,4.66
1999-02-04,618884731.6992,580082107.3920001,166269000.4992,22.378416,4.59
1999-02-05,520948473.7536,571763764.2240001,0.0,22.689312,4.43
1999-02-06,555078146.4576,538490391.5519999,0.0,22.933152,4.27
1999-02-07,567751386.9312,570295821.3119999,0.0,22.503384,4.31
1999-02-08,585219907.5839999,609196308.48,24221058.048000004,22.98192,4.27
1999-02-09,607606036.9920001,591580993.536,36967695.66719999,22.881336,4.19
1999-02-10,580889475.9936,576167592.96,0.0,22.649688,4.04
1999-02-11,579079013.0688,551946534.912,0.0,22.866096,4.0
1999-02-12,586296399.0527999,566625964.032,0.0,22.171152,4.02
