date,outflow(m3/d),inflow(m3/d),spill(m3/d),avg_temp(C),wse(m)
1999-01-01,190783647.1296,192545178.624,0.0,,290.79444
1999-01-02,279276139.008,295790496.768,0.0,,290.843208
1999-01-03,295839428.1984,289429410.816,0.0,6.3,290.79444
1999-01-04,380074885.632,384111728.64,0.0,6.4,290.90112
1999-01-05,351009615.97440004,351083013.11999995,0.0,6.2,290.73348000000004
1999-01-06,345871815.78239995,347657812.992,0.0,,290.84016
1999-01-07,299631614.0544,293343925.248,0.0,,290.864544
1999-01-08,359915136.3072,354018898.94399995,0.0,,290.699952
1999-01-09,315754520.3712,316831011.84,0.0,,290.669472
1999-01-10,266774158.54080003,275483953.15199995,0.0,,290.605464
1999-01-11,352110573.15839994,345945212.92800003,0.0,5.5,290.78224800000004
1999-01-12,364490225.0496,371144899.584,0.0,5.5,290.76396000000005
1999-01-13,337749198.336,331510440.96,0.0,5.4,290.706048
1999-01-14,338165115.4944,337871526.912,0.0,4.4,290.69385600000004
1999-01-15,333100712.44799995,330776469.504,0.0,5.0,290.751768
1999-01-16,321528429.1584,326372640.768,0.0,5.0,290.736528
1999-01-17,294542745.2928,293343925.248,0.0,4.4,290.70300000000003
1999-01-18,343180587.1104,344966584.32000005,0.0,4.3,290.800536
1999-01-19,322531523.48160005,324904697.856,0.0,4.3,290.88588000000004
1999-01-20,340073441.28000003,337871526.912,0.0,4.1,290.827968
1999-01-21,325834395.03360003,326372640.768,0.0,4.1,290.852352
1999-01-22,340562755.584,341541384.192,0.0,,290.849304
1999-01-23,247788763.5456,234381551.616,0.0,,290.69385600000004
1999-01-24,243727454.82240003,250773580.8,0.0,,290.648136
1999-01-25,350642630.24639994,345455898.62399995,0.0,3.3,290.699952
1999-01-26,371805473.8944,383133100.032,0.0,3.3,290.72738400000003
1999-01-27,375230674.0224,377505985.5360001,0.0,3.2,290.69385600000004
1999-01-28,353578516.07039994,354752870.4,0.0,,290.696904
1999-01-29,352477558.8864,340318098.432,0.0,,290.69385600000004
1999-01-30,306873465.7536,306800068.608,0.0,3.3,290.544504
1999-01-31,275826473.1648,261293838.336,0.0,3.3,290.483544
1999-02-01,352697750.3232,376772014.08,0.0,3.5,290.434776
1999-02-02,424431227.2896,423990844.416,0.0,3.3,290.651184
1999-02-03,401678112.1536,409800729.6,0.0,3.4,290.696904
1999-02-04,411684589.6704,406620186.624,0.0,,290.721288
1999-02-05,396809434.8288,368942985.2160001,0.0,3.4,290.568888
1999-02-06,368967450.9312,368942985.2160001,0.0,3.4,290.843208
1999-02-07,298604054.016,299460354.04800004,0.0,3.5,290.559744
1999-02-08,386289177.2928,383622414.336,0.0,3.5,290.730432
1999-02-09,373664868.2496,372612842.496,0.0,3.8,290.4744
1999-02-10,394705383.3216,390717471.744,0.0,3.8,290.446968
1999-02-11,412956806.8608,426192758.7839999,0.0,,290.61156000000005
1999-02-12,347902470.14399993,335424955.392,0.0,3.3,290.736528
1999-02-13,312989894.5536,306800068.608,0.0,3.5,290.517072
1999-02-14,284487336.34559995,275239296.0,0.0,3.4,290.358576
1999-02-15,329137266.5856,355242184.70399994,0.0,3.6,290.340288
1999-02-16,350300110.2336,339584126.976,0.0,3.4,290.593272
1999-02-17,349810795.92959994,353040270.3360001,0.0,3.7,290.58108000000004
1999-02-18,366790002.2784,368453670.912,0.0,,290.745672
1999-02-19,310812445.9008,301172954.112,0.0,3.4,290.696904
1999-02-20,298873176.8832,302151582.72,0.0,,290.529264
1999-02-21,308732860.1088,314384440.32,0.0,,290.651184
1999-02-22,376894342.6560001,372857499.648,0.0,3.3,290.675568
1999-02-23,364783813.632,360135327.744,0.0,3.3,290.706048
1999-02-24,330042498.048,325394012.16,0.0,3.3,290.593272
1999-02-25,277514607.51360005,279398467.58400005,0.0,3.4,290.517072
1999-02-26,256841078.1696,249060980.736,0.0,3.3,290.54145600000004
1999-02-27,216521579.52,224350608.384,0.0,3.4,290.57498400000003
