date,outflow(m3/d),avg_temp(C)
1999-01-01,214515390.8736,4.99
1999-01-02,218380973.87520003,4.58
1999-01-03,220485025.3824,5.1
1999-01-04,240106528.9728,5.03
1999-01-05,239984200.3968,5.08
1999-01-06,235947357.3888,5.11
1999-01-07,241036226.1504,4.92
1999-01-08,244241234.8416,4.75
1999-01-09,239152366.08,4.78
1999-01-10,238002477.4656,4.84
1999-01-11,244461426.2784,4.7
1999-01-12,246932463.5136,4.78
1999-01-13,253587138.048,4.79
1999-01-14,248424872.14080003,4.88
1999-01-15,249452432.1792,4.84
1999-01-16,255373135.2576,4.75
1999-01-17,252314920.8576,4.86
1999-01-18,251923469.4144,4.84
1999-01-19,254737026.6624,4.86
1999-01-20,260437538.304,4.83
1999-01-21,263324492.6976,4.81
1999-01-22,265550872.78080004,4.78
1999-01-23,266162515.6608,4.64
1999-01-24,259140855.3984,4.53
1999-01-25,265037092.7616,4.41
1999-01-26,257354858.1888,4.45
1999-01-27,256400695.296,11.41
1999-01-28,258969595.392,12.64
1999-01-29,263446821.27360004,12.23
1999-01-30,280450493.3376,14.72
1999-01-31,313968523.1616,14.36
1999-02-01,336403584.0,13.74
1999-02-02,340171304.1408,13.66
1999-02-03,338042786.9184,13.54
1999-02-04,340587221.2992,13.33
1999-02-05,328966006.5792,13.64
1999-02-06,331094523.80160004,8.06
1999-02-07,334152738.2016,4.28
1999-02-08,339779852.69759995,4.16
1999-02-09,333443232.4608,4.12
1999-02-10,302347308.4416,4.13
1999-02-11,308781791.5392,4.03
1999-02-12,308170148.6592,4.05
1999-02-13,297674356.8384,4.02
1999-02-14,294200225.28000003,3.99
1999-02-15,290848422.2976,4.02
1999-02-16,290628230.8608,4.08
1999-02-17,281771641.95839995,4.13
1999-02-18,274945707.4176,4.23
1999-02-19,279520796.16,4.18
1999-02-20,281159999.0784,4.18
1999-02-21,281159999.0784,4.28
1999-02-22,283092790.5792,4.27
1999-02-23,283386379.1616,4.26
1999-02-24,276658307.4816,4.34
1999-02-25,281257861.93920004,4.37
1999-02-26,298285999.7184,4.34
1999-02-27,295227785.3184,4.22
1999-02-28,258627075.3792,4.35
1999-03-01,254443438.08,4.38
1999-03-02,243262606.2336,4.41
1999-03-03,223738965.504,4.48
1999-03-04,221855105.4336,4.35
1999-03-05,220582888.2432,4.43
1999-03-06,227457754.2144,4.3
1999-03-07,225402634.1376,4.31
1999-03-08,227237562.7776,4.29
1999-03-09,216594976.6656,4.5
1999-03-10,212093285.0688,4.41
1999-03-11,212998516.5312,4.39
1999-03-12,213169776.5376,4.4
1999-03-13,208374496.3584,4.4
1999-03-14,200398673.2032,4.56
1999-03-15,196826678.784,4.6
1999-03-16,197193664.512,4.64
1999-03-17,181315415.3472,4.64
1999-03-18,188655129.9072,4.34
1999-03-19,194844955.8528,4.45
1999-03-20,194110984.3968,4.62
1999-03-21,185058669.7728,4.81
1999-03-22,205438610.5344,5.07
1999-03-23,205169487.6672,5.02
1999-03-24,210233890.7136,5.19
1999-03-25,218527768.1664,5.35
1999-03-26,244901809.152,5.49
1999-03-27,240057597.5424,5.4
1999-03-28,217377879.552,5.39
1999-03-29,206001321.984,5.53
1999-03-30,194893887.2832,5.44
1999-03-31,192618575.7696,5.34
1999-04-01,190220935.68,5.29
1999-04-02,186208558.3872,5.31
1999-04-03,191884604.31360003,5.38
1999-04-04,196410761.6256,5.36
1999-04-05,185523518.3616,5.57
1999-04-06,172165237.86240003,5.65
1999-04-07,164874454.73279998,5.83
1999-04-08,166195603.35360003,5.91
1999-04-09,164849989.0176,5.9
1999-04-10,163333114.6752,5.92
1999-04-11,158415505.92,6.06
1999-04-12,158537834.496,6.15
1999-04-13,160764214.5792,6.18
1999-04-14,157877260.18559998,6.16
1999-04-15,161082268.8768,6.39
1999-04-16,158880354.5088,6.64
1999-04-17,161326926.02879998,6.88
1999-04-18,164311743.2832,7.05
1999-04-19,164116017.5616,7.17
1999-04-20,174562877.952,7.28
1999-04-21,187578638.43840003,7.49
1999-04-22,203432421.888,7.76
1999-04-23,209328659.2512,8.07
1999-04-24,229684134.2976,8.36
1999-04-25,252779769.4464,8.52
1999-04-26,288499713.6384,8.77
1999-04-27,260266278.2976,8.54
