date,outflow(m3/d),inflow(m3/d),spill(m3/d),avg_temp(C),wse(m)
1999-01-01,188386007.04,242944551.936,0.0,7.67,389.6563200000001
1999-01-02,293392856.67840004,246614409.216,0.0,7.58,389.71728
1999-01-03,285172376.3712,242699894.784,0.0,7.53,389.54964
1999-01-04,377090068.3776,263495752.704,0.0,7.38,389.263128
1999-01-05,344110284.28800005,254198780.92800003,0.0,7.11,388.936992
1999-01-06,341003138.4576,243678523.392,0.0,6.95,388.616952
1999-01-07,287472153.6,245146466.304,0.0,6.72,388.385304
1999-01-08,350667095.9616,268388895.74400005,0.0,6.48,388.19328
1999-01-09,310787980.1856,250773580.8,0.0,6.39,387.94944
1999-01-10,270835467.264,267165609.98400003,0.0,6.29,387.882384
1999-01-11,343694367.1296,261049181.184,0.0,6.19,387.693408
1999-01-12,360967162.0608,269856838.656,0.0,6.05,387.41604
1999-01-13,324170726.4,273771353.088,0.0,5.87,387.14476800000006
1999-01-14,330140360.9088,257868638.208,0.0,5.81,386.934456
1999-01-15,327400200.8064,288940096.512,0.0,5.65,386.748528
1999-01-16,322017743.4624,275973267.456,0.0,5.45,386.6388
1999-01-17,288206125.05599993,283557639.16800004,0.0,5.34,386.574792
1999-01-18,339828784.128,277930524.672,0.0,5.19,386.434584
1999-01-19,317589449.0112,291631325.184,0.0,5.04,386.279136
1999-01-20,330703072.3584,297013782.528,0.0,4.91,386.160264
1999-01-21,319522240.512,288450782.208,0.0,4.83,386.032248
1999-01-22,336256789.7088,316586354.688,0.0,4.57,385.946904
1999-01-23,230418105.7536,300194325.504,0.0,4.66,386.017008
1999-01-24,243287071.9488,279398467.58400005,0.0,4.5,386.184648
1999-01-25,337724732.6208,316586354.688,0.0,4.42,386.1816
1999-01-26,381763019.9808,283802296.32000005,0.0,4.48,385.953
1999-01-27,372588376.7808,291631325.184,0.0,4.3,385.642104
1999-01-28,349443810.2016,277930524.672,0.0,4.44,385.355592
1999-01-29,331779563.82720006,291875982.336,0.0,4.45,385.157472
1999-01-30,300952762.6752,293343925.248,0.0,4.5,385.117848
1999-01-31,256131572.4288,342275355.648,0.0,4.49,385.23367200000007
1999-02-01,373077691.08480006,383867071.488,0.0,4.42,385.392168
1999-02-02,415427844.0960001,356710127.616,0.0,4.58,385.248912
1999-02-03,409091223.8592,389983500.2880001,0.0,4.6,385.14528
1999-02-04,398619897.7536,362092584.96,0.0,4.57,385.01116800000005
1999-02-05,381738554.2656,370655585.28,0.0,4.57,384.910584
1999-02-06,360379984.896,347657812.992,0.0,4.64,384.85572
1999-02-07,294249156.7103999,363560527.8719999,0.0,4.71,384.974592
