date,outflow(m3/d),inflow(m3/d),spill(m3/d),wse(m),avg_temp(C)
1999-01-01,442291199.3856,445765330.944,0.0,80.6196,
1999-01-02,416284144.128,407598815.232,0.0,80.5434,
1999-01-03,488066552.5248,488091018.24,0.0,80.54035200000001,
1999-01-04,472677617.664,474145560.576,0.0,80.552544,
1999-01-05,467857871.7696,474145560.576,0.0,80.53120799999999,
1999-01-06,491491752.6528,504483047.4239999,0.0,80.522064,
1999-01-07,486329486.7456,504483047.4239999,0.0,80.60436,
1999-01-08,514489524.9408,511088790.528,0.0,80.662272,
1999-01-09,541303948.8000001,514513990.656,0.0,80.53425600000001,
1999-01-10,520336830.8736,513780019.2,0.0,80.52816,
1999-01-11,445251550.9248,450169159.68000007,0.0,80.479392,
1999-01-12,478182403.58399993,511088790.528,0.0,80.57388000000002,
1999-01-13,547591637.6063999,548521334.7839999,0.0,80.60436,
1999-01-14,560705260.9536,541915591.68,0.0,80.57388000000002,
1999-01-15,543970711.7567999,535309848.576,0.0,80.51596800000002,
1999-01-16,569415055.5648,580326764.544,0.0,80.485488,
1999-01-17,572253078.5279999,557573649.4080001,0.0,80.53120799999999,
1999-01-18,549964811.9808,599165365.248,0.0,80.43976800000002,
1999-01-19,500886587.2896,548765991.9360001,0.0,80.4672,
1999-01-20,522391950.9504,546564077.5680001,0.0,80.701896,
1999-01-21,552093329.2032,542160248.8319999,12110529.024000002,80.68360799999999,
1999-01-22,558454415.1551999,547542706.176,14263511.961600002,80.704944,
1999-01-23,575311292.928,564179392.512,13260417.6384,80.701896,
1999-01-24,525254439.6288,501302504.448,0.0,80.643984,
1999-01-25,510159093.3504,481729932.2879999,0.0,80.5434,
1999-01-26,521339925.1968,521853705.216,0.0,80.409288,
1999-01-27,532618619.904,549255306.24,0.0,80.53120799999999,
1999-01-28,551359357.7472,551212563.4560001,0.0,80.51901600000001,
1999-01-29,546392817.5616,551457220.608,0.0,80.63484000000001,
1999-01-30,538783980.1344,536288477.184,0.0,80.58912,
1999-01-31,517523273.6256,506195647.488,0.0,80.555592,
1999-02-01,554637763.584,614823422.976,0.0,80.43672,
1999-02-02,492274655.5392,510354819.072,0.0,80.308704,
1999-02-03,545512051.8144,565402678.2720001,0.0,80.494632,
1999-02-04,579592793.088,604303165.44,0.0,80.50072800000001,
1999-02-05,580718215.9872,562466792.448,0.0,80.61045600000001,
1999-02-06,510697339.0848,536043820.032,0.0,80.555592,
1999-02-07,541891125.9648,547787363.328,0.0,80.67751200000001,
1999-02-08,571935024.2304,560020220.928,0.0,80.68056,
1999-02-09,558356552.2944001,550967906.3039999,0.0,80.622648,
1999-02-10,553854860.6975999,555127077.888,0.0,80.613504,
1999-02-11,534086562.8160001,530416705.5360001,0.0,80.58912,
1999-02-12,534184425.6768001,528459448.32,0.0,80.58302400000001,
1999-02-13,546123694.6944001,557573649.4080001,0.0,80.586072,
1999-02-14,533181331.3536,533841905.664,0.0,80.640936,
1999-02-15,532936674.2016,487846361.088,0.0,80.51292,
1999-02-16,473387123.40480006,471209674.752,0.0,80.45500799999999,
1999-02-17,484861543.8336,489803618.304,0.0,80.42148000000002,
1999-02-18,511798296.2688,520875076.608,0.0,80.59216800000002,
