date,outflow(m3/d),inflow(m3/d),spill(m3/d),wse(m),avg_temp(C)
1999-01-01,392527934.6688,394631986.176,0.0,103.41864,
1999-01-02,370068408.1151999,358178070.528,0.0,103.37292,
1999-01-03,456163259.904,465582560.2560001,0.0,103.305864,
1999-01-04,440872187.904,424969473.024,0.0,103.208328,
1999-01-05,434584499.0976,484421160.96,0.0,103.38816,
1999-01-06,491907669.8112,498121961.472,37897392.8448,103.534464,
1999-01-07,487185786.77759993,490537589.76,34863644.16,103.57104,
1999-01-08,502354530.2016,476347474.944,52552356.2496,103.54056,
1999-01-09,484249900.9536,501547161.6,43867027.3536,103.4796,
1999-01-10,488922852.5568,475858160.64,35695478.4768,103.49484,
1999-01-11,438278822.0928,437202330.624,3058214.4,103.345488,
1999-01-12,493571338.4448001,512801390.592,41567250.1248,103.537512,
1999-01-13,540912497.3568,529193419.776,89324326.19519998,103.564944,
1999-01-14,538392528.6911999,532863277.05600005,84162060.28799999,103.60152,
1999-01-15,518134916.5056,529927391.232,68993316.864,103.49484,
1999-01-16,569659712.7168001,567604592.6400001,123551861.76,103.543608,
1999-01-17,543505863.168,533597248.512,95856672.1536,103.549704,
1999-01-18,492739504.128,502036475.904,46215736.0128,103.519224,
1999-01-19,509009204.736,500323875.8399999,88394629.01759999,103.54056,
1999-01-20,531395334.14399993,539713677.3119999,86486303.23200001,103.497888,
1999-01-21,500372807.2704,513780019.2,42448015.872,103.522272,
1999-01-22,547053391.872,549010649.088,89544517.632,103.592376,
1999-01-23,543799451.7504001,532129305.6,84235457.43360001,103.574088,
1999-01-24,454572988.416,432309187.58399993,0.0,103.461312,
1999-01-25,453765619.8144,440382873.6,0.0,103.247952,
1999-01-26,499785630.10560006,529193419.776,49420744.704,103.363776,
1999-01-27,539175431.5776,553414477.824,89715777.6384,103.476552,
1999-01-28,541524140.2368,543383534.592,109777664.1024,103.488744,
1999-01-29,550062674.8416001,511088790.528,91110323.4048,103.412544,
1999-01-30,511235584.8192,514024676.352,51867316.224,103.345488,
1999-01-31,482414972.3136,456285588.48,19694900.736,103.226616,
1999-02-01,498366618.624,486623075.328,64173570.9696,103.116888,
1999-02-02,514293799.2192,505461676.032,88247834.7264,102.937056,
1999-02-03,555983377.92,585464564.7360001,144029665.38239998,103.08336,
1999-02-04,579103478.7839999,573231707.136,162648074.6496,103.086408,
1999-02-05,555298337.8944,589623736.32,88810546.17599998,103.18699200000002,
1999-02-06,499173987.2256,490292932.608,38655830.016,103.308912,
1999-02-07,542135783.1168001,553659134.976,79268917.248,103.308912,
1999-02-08,535652368.5888,533597248.512,72027065.5488,103.308912,
1999-02-09,533768508.5183999,507418933.248,68063619.6864,103.290624,
1999-02-10,561610492.416,548521334.7839999,92284677.7344,103.11079200000002,
1999-02-11,507370001.8176,537267105.7919999,43377713.049600005,103.168704,
1999-02-12,511700433.408,529682734.08,54020299.16159999,103.31196,
1999-02-13,536435271.4752,524300276.73600006,79464642.96959999,103.43388000000002,
1999-02-14,514440593.5104,450169159.68000007,48760170.3936,103.0986,
1999-02-15,461839305.8304,453105045.504,0.0,102.937056,
1999-02-16,447967245.312,482708560.896,0.0,102.830376,
1999-02-17,467784474.624,490048275.4560001,12159460.4544,103.135176,
1999-02-18,538930774.4255999,503993733.12,58644319.33439999,103.107744,
1999-02-19,482830889.472,523810962.432,0.0,103.025448,
1999-02-20,506733893.2224,467295160.32,7951357.44,103.229664,
1999-02-21,459172542.8736,428150016.0,0.0,102.851712,
1999-02-22,472237234.7904,507663590.4,0.0,102.879144,
1999-02-23,485399789.568,529193419.776,0.0,103.162608,
1999-02-24,557108800.8192,580326764.544,78608342.9376,103.44912,
1999-02-25,547860760.4736,546564077.5680001,61726999.4496,103.409496,
1999-02-26,533964234.24,522343019.52,50962084.7616,103.430832,
1999-02-27,511137721.9584,483197875.2,13700800.511999998,103.391208,
1999-02-28,467270694.6048001,451637102.592,0.0,103.043736,
1999-03-01,439893559.29600006,484910475.264,0.0,103.272336,
1999-03-02,645454498.4064,642714338.304,145693334.01599997,103.497888,
1999-03-03,567922646.9376,574944307.1999999,55121256.3456,103.44912,
1999-03-04,618052897.3824,639533795.328,99599926.5792,103.534464,
1999-03-05,659718010.3679999,624120394.752,136445293.67040002,103.439976,
1999-03-06,589917324.9024,563445421.056,55806296.3712,103.275384,
1999-03-07,534429082.8288,560754192.384,0.0,103.34244,
1999-03-08,523908825.2928,541181620.224,0.0,103.406448,
1999-03-09,545291860.3776,559530906.624,31242718.3104,103.543608,
1999-03-10,619471908.864,602101251.072,95293960.704,103.57104,
1999-03-11,568044975.5136,569072535.5519999,37799529.984,103.488744,
1999-03-12,551506152.0383999,553659134.976,19376846.4384,103.38816,
1999-03-13,581598981.7343999,563200763.9039999,70534656.92159998,103.516176,
1999-03-14,546417283.2768,504972361.728,10593654.6816,103.150416,
1999-03-15,517229685.0432,562711449.5999999,104566466.7648,103.324152,
1999-03-16,637405278.1055999,636597909.504,227408822.784,103.41864,
1999-03-17,547224651.8784,564913363.968,132139327.7952,103.424736,
1999-03-18,577733398.7328,559530906.624,165461631.8976,103.324152,
1999-03-19,577635535.872,555371735.0400001,169694200.62719998,103.366824,
1999-03-20,532471825.6128,482953218.048,112664618.49599998,102.985824,
1999-03-21,525303371.0592001,549255306.24,92529334.8864,103.004112,
1999-03-22,546661940.4288001,560020220.928,136347430.8096,103.1748,
1999-03-23,609392034.2016,611642880.0,189291238.5024,103.202232,
1999-03-24,622236534.6816001,615312737.28,209108467.8144,103.217472,
1999-03-25,584118950.4,621429166.08,159296271.6672,103.232712,
1999-03-26,643741898.3424,660084996.096,214417528.0128,103.391208,
1999-03-27,700086440.4479998,690422482.9439999,266945418.5472,103.382064,
1999-03-28,708624975.0527999,705101912.064,276584910.336,103.351584,
1999-03-29,716845455.36,702166026.2399999,296818056.8064,103.284528,
1999-03-30,676770613.8624,673785796.6079999,257403789.6192,103.260144,
1999-03-31,711340669.44,685284682.7520001,279520796.16,103.18699200000002,
1999-04-01,590235379.1999999,611642880.0,159443065.95839998,103.138224,6.4
1999-04-02,637209552.384,597208108.032,196263967.3344,103.107744,6.8
1999-04-03,586198536.192,595250850.816,147038948.352,103.00716,6.9
1999-04-04,549426566.2464,561488163.84,113667712.8192,103.028496,7.0
1999-04-05,549084046.2336,602101251.072,118071541.5552,103.3272,7.0
1999-04-06,605868971.2128,565647335.424,175321315.12319997,103.348536,7.1
1999-04-07,585048647.5776,574944307.1999999,162452348.928,103.251,7.4
1999-04-08,614480902.9632,566381306.8799999,186379818.3936,102.95839200000002,7.3
1999-04-09,511773830.5536,535309848.576,78143494.3488,102.924864,7.2
1999-04-10,460444760.064,483197875.2,22435060.8384,103.147368,7.4
1999-04-11,453863482.6752,442095473.6639999,63953379.5328,103.001064,7.6
1999-04-12,473582849.1264,483442532.352,125729310.4128,103.214424,7.5
1999-04-13,503675678.8224,509865504.768,129594893.4144,103.211376,7.7
1999-04-14,590626830.6431999,545340791.808,204362119.0656,103.03459200000002,8.1
1999-04-15,518624230.8096,507908247.552,125019804.672,102.909624,8.5
1999-04-16,480433249.3824,482708560.896,125019804.672,102.790752,8.7
1999-04-17,443808073.728,445520673.792,125019804.672,102.842568,9.2
1999-04-18,509058136.1664,528704105.472,125019804.672,102.88219200000002,9.7
1999-04-19,496727415.7056,567604592.6400001,125509118.976,103.22052,9.4
1999-04-20,650788024.3199999,622652451.84,272376807.3216,103.244904,9.4
1999-04-21,623533217.5872,629258194.944,289527273.6768,103.241856,9.3
1999-04-22,666299287.7567999,710729026.56,283777830.6048,103.308912,9.6
1999-04-23,790780846.6944001,751342113.792,383059702.8864,103.366824,9.8
1999-04-24,700771480.4736,714643540.992,299338025.472,103.324152,10.2
1999-04-25,716698661.0688,698251511.808,322678317.7728,103.232712,10.2
1999-04-26,695927268.864,695560283.136,290970750.8736,103.19004,10.1
1999-04-27,713811706.6751999,757947856.896,308390340.096,103.3272,10.2
1999-04-28,784272966.4512,767978800.1279999,392112017.51040006,103.424736,10.2
1999-04-29,769471208.7551999,760149771.2639999,362043653.5296,103.3272,10.0
1999-04-30,758021254.0415999,753544028.16,349810795.92959994,103.290624,10.2
1999-05-01,695364557.4144001,695560283.136,316097040.38399994,103.199184,10.3
1999-05-02,727439110.0416001,709261083.648,344721927.16800004,103.28148000000002,10.3
1999-05-03,745641602.1504,714398883.8399999,340391495.5776,103.00716,10.2
1999-05-04,731353624.4736,762107028.48,329871238.04160005,102.982776,9.9
1999-05-05,720857832.6527998,729812284.416,330972195.22560006,103.23576,10.3
1999-05-06,699841783.296,673785796.6079999,299827339.776,103.15956,10.3
1999-05-07,662311376.1791999,647852138.4959999,254418972.3648,102.97668000000002,10.3
1999-05-08,646359729.8688,648096795.648,271129055.8464,102.970584,10.3
1999-05-09,620034620.3136,635619280.896,264792435.6096,102.99192,10.2
1999-05-10,696245323.1615999,653968567.296,314873754.624,102.96144,10.6
1999-05-11,604914808.3199999,627300937.728,274578721.68960005,102.87,10.5
1999-05-12,598186736.64,584241278.9760001,281551450.52159995,102.876096,10.7
1999-05-13,581256461.7216,602835222.528,261195975.4752,103.031544,10.7
1999-05-14,640757081.0879998,646384195.584,279545261.87520003,103.080312,10.9
1999-05-15,641711243.9808,647607481.344,268780347.18719995,102.988872,11.0
1999-05-16,607801762.7135999,620695194.624,255813518.1312,103.153464,11.2
1999-05-17,644182281.216,651277338.624,281086601.93280005,103.153464,11.5
1999-05-18,617318925.9264,611153565.696,265819995.648,103.141272,11.6
1999-05-19,640512423.936,624365051.904,270346152.96,103.119936,11.8
1999-05-20,659522284.6464,661797596.1600001,301857994.13759995,103.101648,12.3
1999-05-21,672758236.5696001,665956767.744,298285999.7184,103.049832,12.2
1999-05-22,610492991.3856001,626811623.424,265771064.2176,103.055928,13.0
1999-05-23,618835800.2688,577880193.024,271667301.58080006,102.994968,13.4
1999-05-24,578002521.6,617025337.344,236705794.56,102.937056,13.5
1999-05-25,737029670.4,721983255.5520002,329553183.744,103.06812,13.5
1999-05-26,749849705.1648,811772430.3360001,344379407.15519994,103.180896,14.2
1999-05-27,957906147.2256,828409116.672,542013454.5408,103.330248,14.2
1999-05-28,859749697.8432001,823515973.6320001,445716399.5136,103.229664,14.3
1999-05-29,787796029.44,829632402.432,409384812.4416,103.156512,14.3
1999-05-30,806169781.5551999,825962545.1520001,428150016.0,103.251,14.2
1999-05-31,840617508.5568,824983916.544,464261411.6352,103.315008,13.9
1999-06-01,820947073.536,827430488.0639999,411880315.392,103.217472,13.5
1999-06-02,881817772.9535999,895689833.4720001,472212769.0752,103.302816,13.1
1999-06-03,878906352.8448,883456975.8720001,466879243.16160005,103.330248,12.8
1999-06-04,862245200.7936,837216774.144,445667468.0832,103.20528000000002,12.8
1999-06-05,902760425.1648,921378834.432,490072741.1712,103.379016,13.0
1999-06-06,855810717.6960001,842599231.4879999,440138216.4480001,103.293672,13.0
1999-06-07,830757825.3312,829143088.1279998,416846855.5776,103.171752,13.0
1999-06-08,812017087.4879999,836482802.688,411806918.2464,103.321104,12.9
1999-06-09,870147626.8032001,813240373.248,465093245.952,103.162608,12.9
1999-06-10,796163304.0384,790242600.9599999,380001488.4864,102.955344,12.9
1999-06-11,726998727.168,761862371.328,316782080.4096,103.107744,13.3
1999-06-12,771330603.1104,779967000.5760001,363682856.448,103.260144,13.6
1999-06-13,731598281.6255999,742289799.168,333541095.3216,103.305864,14.4
1999-06-14,734754358.8864,715622169.6,335278161.1008,103.092504,14.6
1999-06-15,785838772.224,811772430.3360001,418461592.7808,103.29672,14.9
1999-06-16,811796896.0512,822292687.8720001,419709344.256,103.321104,15.3
1999-06-17,883456975.8720001,869266861.056,480995960.832,103.305864,15.7
1999-06-18,838513457.0496001,853853460.48,443000705.12639993,103.324152,15.8
1999-06-19,825668956.5695999,817644201.9840001,423330270.1056,103.324152,16.0
1999-06-20,823638302.2079998,833057602.5600001,422302710.0672,103.391208,16.1
1999-06-21,800689461.3503999,767978800.1279999,411586726.8096,103.260144,15.9
1999-06-22,767587348.6848,800518201.3440001,363854116.4544,103.202232,15.9
1999-06-23,861119777.8944001,844311831.552,478182403.58399993,103.318056,16.2
1999-06-24,834231956.8896002,813485030.4000001,431452887.552,103.168704,16.0
1999-06-25,800053352.7552,837706088.4480001,392136483.2256,103.254048,15.7
1999-06-26,816102861.9263998,818133516.2879999,416822389.8624,103.3272,15.6
1999-06-27,766094940.0575999,749384856.576,369872682.3936,103.366824,15.6
1999-06-28,718582521.1391999,719047369.7279999,316953340.416,103.20528000000002,15.3
1999-06-29,736051041.792,727121055.7439998,333467698.17600006,103.202232,15.9
1999-06-30,747525462.2208002,756235256.832,357713221.9392,103.330248,15.8
1999-07-01,727659301.4784001,744981027.84,326054586.47040004,103.269288,15.9
1999-07-02,721102489.8048,705835883.5199999,321822017.7407999,103.348536,15.6
1999-07-03,642445215.4367999,632928052.224,247935557.8368,103.321104,15.6
1999-07-04,641368723.9679999,656170481.6639999,246492080.64,103.244904,15.4
1999-07-05,622970506.1376001,610664251.392,238491791.7696,103.302816,16.2
1999-07-06,631900492.1855999,625832994.816,254981683.8144,103.126032,16.5
1999-07-07,579617258.8032,595006193.6639999,187725432.7296,103.19004,16.3
1999-07-08,634934240.8703998,648830767.104,237464231.7312,103.3272,16.9
1999-07-09,622261000.3968,607728365.568,225084579.84000003,103.22052,17.2
1999-07-10,603740453.9904001,623386423.296,208031976.3456,103.305864,17.6
1999-07-11,677088668.16,657883081.7279999,279300604.7232,103.336344,17.9
1999-07-12,617539117.3632,615068080.128,227629014.2208,103.305864,18.1
1999-07-13,640512423.936,661797596.1600001,251336292.2496,103.244904,18.2
1999-07-14,699376934.7072,703878626.304,314384440.32,103.318056,18.0
1999-07-15,685088957.0303999,648341452.8,286346730.7008,103.214424,18.1
1999-07-16,652696350.1056,647607481.344,261709755.4944,103.138224,17.8
