date,outflow(m3/d),inflow(m3/d),spill(m3/d),wse(m),avg_temp(C)
1999-01-01,203505819.0336,200618864.64,0.0,148.440648,
1999-01-02,270786535.83360004,277441210.36800003,0.0,148.53208800000002,
1999-01-03,336232323.9936,336648241.15199995,0.0,148.458936,
1999-01-04,345920747.2128,354263556.096,0.0,148.522944,
1999-01-05,360110862.0288,366007099.392,17713177.8048,148.57476,
1999-01-06,402142960.7424,392674728.96,20502269.337600004,148.522944,
1999-01-07,358985439.1295999,351572327.424,0.0,148.27910400000002,
1999-01-08,327546995.0976,338116184.06399995,0.0,148.349208,
1999-01-09,370973639.5776,367230385.152,0.0,148.446744,
1999-01-10,308904120.1152,304353497.088,0.0,148.327872,
1999-01-11,336256789.7088,339339469.82399994,0.0,148.352256,
1999-01-12,366912330.8544,362092584.96,0.0,148.34616,
1999-01-13,380074885.632,384601042.944,24465.7152,148.35530400000002,
1999-01-14,363144610.7136,358178070.528,0.0,148.245576,
1999-01-15,357957879.0912,358667384.832,0.0,148.245576,
1999-01-16,355217718.9888,363805185.0239999,0.0,148.34311200000002,
1999-01-17,337210952.60160005,337137555.45600003,0.0,148.413216,
1999-01-18,340880809.8816,342275355.648,0.0,148.31872800000002,
1999-01-19,360575710.6176,361113956.352,0.0,148.504656,
1999-01-20,365517785.08800006,357199441.92,0.0,148.428456,
1999-01-21,350055453.08160007,350593698.816,0.0,148.373592,
1999-01-22,365150799.36,364783813.632,0.0,148.41931200000002,
1999-01-23,319448843.3664,318788269.056,0.0,148.297392,
1999-01-24,252314920.8576,256645352.448,0.0,148.324824,
1999-01-25,329920169.472,320500869.12,5382457.3440000005,148.45284,
1999-01-26,401873837.8752,387292271.61600006,16881343.488,148.416264,
1999-01-27,396344586.24,396833900.544,0.0,148.245576,
1999-01-28,391206786.048,396589243.392,0.0,148.41931200000002,
1999-01-29,366716605.1327999,365517785.08800006,0.0,148.41931200000002,
1999-01-30,350691561.67679995,339584126.976,0.0,148.248624,
1999-01-31,327791652.2496,329063869.44,0.0,148.077936,
1999-02-01,327962912.256,336892898.304,0.0,148.19376,
1999-02-02,402509946.4704,413959901.184,4942074.4704,148.41016800000003,
1999-02-03,431110367.5392,423256872.96,18740737.8432,148.504656,
1999-02-04,436761947.75040007,424969473.024,10985106.1248,148.449792,
1999-02-05,419415755.6736,425948101.632,0.0,148.340064,
1999-02-06,417752087.04,412247301.12,0.0,148.428456,
1999-02-07,396124394.8032,405886215.168,0.0,148.297392,
1999-02-08,383157565.7472,369676956.67199993,0.0,148.25776800000003,
1999-02-09,359964067.7376,363805185.0239999,0.0,148.263864,
1999-02-10,402803535.0528,404662929.40800005,0.0,148.39188,
1999-02-11,411146343.9360001,418363729.92,0.0,148.276056,
1999-02-12,414155626.9056,407843472.384,0.0,148.50770400000002,
1999-02-13,377946368.4096,375059414.016,0.0,148.25472,
1999-02-14,340636152.72959995,333223041.024,0.0,148.10536800000003,
1999-02-15,291655790.8992,296279811.072,0.0,148.004784,
1999-02-16,382668251.4432,389249528.832,9908614.656,148.416264,
1999-02-17,368942985.2160001,368698328.064,0.0,148.282152,
1999-02-18,384209591.5008,383377757.184,0.0,148.19376,
1999-02-19,387218874.4704,382643785.728,0.0,148.16632800000002,
1999-02-20,312720771.68639994,318543611.904,0.0,148.24252800000002,
1999-02-21,288817767.936,295056525.31200004,0.0,148.35530400000002,
1999-02-22,398693294.8992,385579671.552,0.0,148.260816,
1999-02-23,416284144.128,405396900.864,0.0,147.81276,
1999-02-24,368184548.0448,379707899.9039999,0.0,147.72436800000003,
1999-02-25,306800068.608,312671840.256,0.0,148.45284,
1999-02-26,295056525.31200004,296769125.376,0.0,148.474176,
1999-02-27,231861582.9504,227286494.208,0.0,148.440648,
1999-02-28,183492864.0,188630664.192,0.0,148.382736,
1999-03-01,285123444.9408,291875982.336,0.0,148.522944,
1999-03-02,355560239.0016,348881098.752,8758726.0416,148.34616,
1999-03-03,348881098.752,344966584.32000005,0.0,148.19376,
1999-03-04,386705094.4512,387047614.464,0.0,148.187664,
1999-03-05,389078268.8256,387047614.464,0.0,148.215096,
1999-03-06,366129427.968,367964356.608,0.0,148.251672,
1999-03-07,353309393.2032,348147127.296,0.0,148.172424,
1999-03-08,365884770.816,368698328.064,0.0,148.007832,
1999-03-09,369383368.0896,367964356.608,0.0,148.352256,
1999-03-10,389861171.7119999,401727043.584,0.0,148.288248,
1999-03-11,383010771.456,364049842.176,0.0,148.297392,
1999-03-12,365273127.9360001,384601042.944,0.0,148.068792,
1999-03-13,311179431.6288,313161154.56,0.0,148.31568,
1999-03-14,336232323.9936,327840583.68000007,0.0,148.49551200000002,
1999-03-15,359572616.29440004,358422727.68,0.0,148.276056,
1999-03-16,360257656.32,349125755.904,0.0,148.004784,
1999-03-17,327424666.52160007,345700555.776,0.0,148.370544,
1999-03-18,319228651.9296,306310754.304,0.0,148.169376,
1999-03-19,297209508.2496,301662268.41599995,0.0,148.175472,
1999-03-20,284291610.624,280132439.04,0.0,148.34616,
1999-03-21,235360180.224,240008666.112,0.0,148.306536,
1999-03-22,297013782.528,291875982.336,0.0,148.12670400000002,
1999-03-23,302078185.5744,295790496.768,0.0,148.297392,
1999-03-24,313797263.1552,315118411.776,0.0,148.4376,
1999-03-25,320623197.69600004,321968812.032,0.0,148.522944,
1999-03-26,339045881.24160004,336158926.848,0.0,148.461984,
1999-03-27,345945212.92800003,354018898.94399995,4330431.590399999,148.580856,
1999-03-28,379047325.5936,376772014.08,0.0,148.53208800000002,
1999-03-29,386582765.8751999,379463242.752,0.0,148.42236,
1999-03-30,383695811.4816,384601042.944,0.0,148.53208800000002,
1999-03-31,374080785.408,372857499.648,0.0,148.401024,5.66
1999-04-01,378093162.7008,374325442.56,0.0,148.24252800000002,5.66
1999-04-02,351914847.4368,342030698.49600005,0.0,148.062696,5.83
1999-04-03,335914269.69600004,336403584.0,0.0,148.035264,5.74
1999-04-04,338752292.6592,350593698.816,0.0,148.184616,5.73
1999-04-05,384405317.22240007,378729271.296,0.0,148.291296,5.78
1999-04-06,372563911.0655999,376772014.08,0.0,148.25472,5.98
1999-04-07,365395456.512,360624642.048,0.0,148.11451200000002,6.26
1999-04-08,364367896.4736001,356710127.616,0.0,148.02612,6.16
1999-04-09,329920169.472,323926069.248,0.0,147.7518,6.0
1999-04-10,254688095.232,247593037.824,0.0,147.635976,6.39
1999-04-11,276340253.184,282579010.56,0.0,147.87372,6.55
1999-04-12,290554833.7152,317075668.992,0.0,147.815808,6.65
1999-04-13,328819212.28800005,321479497.72800004,0.0,148.187664,6.6
1999-04-14,311742143.0784,291631325.184,0.0,147.69388800000002,6.94
1999-04-15,274945707.4176,292854610.944,0.0,147.70912800000002,7.34
1999-04-16,238002477.4656,237806751.744,0.0,147.831048,7.36
1999-04-17,242724360.4992,247103723.52,0.0,148.39492800000002,7.7
1999-04-18,303790785.6384,309491297.28,0.0,148.58390400000002,7.63
1999-04-19,322653852.0576,321968812.032,0.0,148.337016,7.74
1999-04-20,317540517.5808,299460354.04800004,0.0,148.154136,7.78
1999-04-21,311644280.2176,339828784.128,2886954.3936,147.986496,7.9
1999-04-22,415623569.8176,412002643.968,58913442.20159999,148.68144,7.89
1999-04-23,434584499.0976,434511101.952,348098195.8656,148.565616,8.6
1999-04-24,420932630.016,405152243.712,338703361.22880006,148.209,8.57
1999-04-25,416748992.7168,408577443.84,334226135.34720004,147.788376,8.65
1999-04-26,409702866.7392,433777130.49600005,329969100.9024,148.26691200000002,8.52
1999-04-27,439771230.72,438425616.384,353774241.79199994,148.629624,8.43
1999-04-28,460493691.4944,468518446.08,370606653.8496,148.632672,8.48
1999-04-29,493424544.1536,487601703.936,397518940.5695999,148.599144,8.7
1999-04-30,486256089.6,481485275.136,391157854.6175999,148.349208,8.83
1999-05-01,442756047.9743999,442340130.816,353407256.06399995,148.480272,8.9
1999-05-02,444297388.032,447967245.312,354899664.6912,148.538184,8.85
1999-05-03,458267311.4112,458487502.8480001,362361707.8272,148.474176,9.0
1999-05-04,478231335.0144,471943646.208,354801801.8304,148.501608,8.87
1999-05-05,448065108.1728,440138216.4480001,338214046.92480004,148.05050400000002,8.93
1999-05-06,410241112.4736,422767558.656,309148777.2672,148.187664,9.3
1999-05-07,414816201.216,401237729.28,311228363.0592,148.340064,9.31
1999-05-08,373787196.8256,373836128.256,281673779.0976,148.39492800000002,9.17
1999-05-09,429887081.7792001,423012215.808,321552894.87360007,148.068792,9.11
1999-05-10,373860593.9712001,388270900.2239999,281673779.0976,148.0566,9.24
1999-05-11,375744454.0416,375059414.016,282652407.7056,148.458936,9.55
1999-05-12,356122950.4512,362337242.112,266358241.3824,148.43150400000002,9.76
1999-05-13,406130872.32000005,409311415.29600006,306530945.7408,148.632672,9.78
1999-05-14,406864843.776,395365957.632,306188425.728,148.340064,9.91
1999-05-15,442535856.5376,438914930.688,332219946.7008,148.321776,10.16
1999-05-16,406840378.0608,417874415.616,305650179.9936,148.297392,10.34
1999-05-17,443759142.2976,435489730.56,334788846.7968,148.282152,10.5
1999-05-18,395977600.512,404418272.256,298041342.5664,148.373592,10.71
1999-05-19,426951195.9552,415917158.4,320036020.5312,148.41016800000003,10.63
1999-05-20,435318470.5536001,442095473.6639999,326274777.9072,148.20290400000002,11.09
1999-05-21,376943274.0864,369432299.5199999,282897064.8576,148.312632,11.23
1999-05-22,309907214.4384,289184753.664,232864677.2736,147.901152,11.35
1999-05-23,271667301.58080006,273282038.78400004,203995133.3376,147.684744,11.66
1999-05-24,326030120.7552,351572327.424,245097534.87360004,148.080984,12.04
1999-05-25,331094523.80160004,333467698.17600006,247470709.248,148.3614,12.31
1999-05-26,397543406.28480005,406620186.624,300243256.9344,148.54428,12.13
1999-05-27,435147210.5472,433043159.04,326127983.61600006,148.678392,12.27
1999-05-28,421006027.1616,420076329.984,316464026.112,148.550376,12.2
1999-05-29,439404244.992,429373301.76,329014938.0096,148.538184,12.29
1999-05-30,381420499.96800005,389738843.136,287937002.1888,148.510752,12.13
1999-05-31,398130583.4496,392185414.656,299582682.624,148.56256800000003,12.13
1999-06-01,429373301.76,430841244.672,321919880.6016,148.282152,12.09
1999-06-02,461080868.6592,470475703.296,346361130.0864,148.55952,11.54
1999-06-03,468958828.9536,460200102.912,352550956.032,148.56256800000003,11.8
1999-06-04,501302504.448,513046047.7439999,397274283.4176,148.663152,11.8
1999-06-05,544704683.2127999,523321648.128,418681784.2175999,148.446744,12.06
1999-06-06,463821028.7616,480506646.528,345920747.2128,148.12670400000002,11.99
1999-06-07,509449587.6096,511578104.832,385750931.5584,148.50770400000002,11.89
1999-06-08,497094401.4336,499589904.384,377090068.3776,148.580856,11.74
1999-06-09,534404617.1136,523566305.28,405519229.44,148.568664,12.08
1999-06-10,471576660.48,483442532.352,354875198.9760001,148.538184,12.65
1999-06-11,505681867.4688,506929618.944,392332208.94720006,148.702776,13.04
1999-06-12,514929907.8144,495186075.648,373200019.6607999,148.56256800000003,13.67
1999-06-13,410216646.7584,394387329.0239999,287594482.17599994,147.81276,14.18
1999-06-14,442217802.24000007,476592132.096,196533090.2016,148.31872800000002,13.66
1999-06-15,474145560.576,466561188.864,160274900.27519998,148.69972800000002,13.96
1999-06-16,464481603.072,470475703.296,200398673.2032,148.632672,14.28
1999-06-17,451979622.6048001,453594359.808,170990883.5328,148.626576,14.39
1999-06-18,428027687.424,423990844.416,115478175.744,148.644864,14.44
1999-06-19,386289177.2928,388270900.2239999,55072324.91520001,148.428456,14.5
1999-06-20,384160660.07040006,344966584.32000005,45897681.7152,148.11756,14.47
