date,outflow(m3/d),inflow(m3/d),spill(m3/d),avg_temp(C),wse_tail(m)
1999-01-01,203505819.0336,200618864.64,0.0,,123.821952
1999-01-02,270786535.83360004,277441210.36800003,0.0,,124.477272
1999-01-03,336232323.9936,336648241.15199995,0.0,,125.156976
1999-01-04,345920747.2128,354263556.096,0.0,,125.202696
1999-01-05,360110862.0288,366007099.392,17713177.8048,,125.400816
1999-01-06,402142960.7424,392674728.96,20502269.337600004,,125.68428000000002
1999-01-07,358985439.1295999,351572327.424,0.0,,125.33376
1999-01-08,327546995.0976,338116184.06399995,0.0,,125.035056
1999-01-09,370973639.5776,367230385.152,0.0,,125.449584
1999-01-10,308904120.1152,304353497.088,0.0,,124.916184
1999-01-11,336256789.7088,339339469.82399994,0.0,,125.126496
1999-01-12,366912330.8544,362092584.96,0.0,,125.406912
1999-01-13,380074885.632,384601042.944,24465.7152,,125.489208
1999-01-14,363144610.7136,358178070.528,0.0,,125.336808
1999-01-15,357957879.0912,358667384.832,0.0,,125.33376
1999-01-16,355217718.9888,363805185.0239999,0.0,,125.297184
1999-01-17,337210952.60160005,337137555.45600003,0.0,,125.13259200000002
1999-01-18,340880809.8816,342275355.648,0.0,,125.126496
1999-01-19,360575710.6176,361113956.352,0.0,,125.34290400000002
1999-01-20,365517785.08800006,357199441.92,0.0,,125.36424
1999-01-21,350055453.08160007,350593698.816,0.0,,125.251464
1999-01-22,365150799.36,364783813.632,0.0,,125.382528
1999-01-23,319448843.3664,318788269.056,0.0,,124.99848
1999-01-24,252314920.8576,256645352.448,0.0,,124.367544
1999-01-25,329920169.472,320500869.12,5382457.3440000005,,124.977144
1999-01-26,401873837.8752,387292271.61600006,16881343.488,,125.678184
1999-01-27,396344586.24,396833900.544,0.0,,125.675136
1999-01-28,391206786.048,396589243.392,0.0,,125.601984
1999-01-29,366716605.1327999,365517785.08800006,0.0,,125.397768
1999-01-30,350691561.67679995,339584126.976,0.0,,125.254512
1999-01-31,327791652.2496,329063869.44,0.0,,125.022864
1999-02-01,327962912.256,336892898.304,0.0,,124.98324
1999-02-02,402509946.4704,413959901.184,4942074.4704,,125.696472
