date,outflow(m3/d),inflow(m3/d),spill(m3/d),avg_temp(C),wse_tail(m)
1999-01-01,194893887.2832,197438321.664,0.0,,187.57392
1999-01-02,284560733.4912,298481725.43999994,0.0,,188.238384
1999-01-03,322849577.7792,323436754.94399995,0.0,,188.436504
1999-01-04,374594565.4272,388760214.528,22043609.3952,,188.841888
1999-01-05,366227290.8288,367964356.608,5627114.495999999,,188.83884
1999-01-06,369481230.9504,367475042.304,7535440.2816,,188.841888
1999-01-07,333810218.1888,317320326.14399993,0.0,,188.54928
1999-01-08,347119567.2576,362092584.96,10569188.9664,,188.65900800000003
1999-01-09,351768053.1456,342764669.952,220191.4368,,188.683392
1999-01-10,289625136.5376,277685867.52000004,0.0,,188.159136
1999-01-11,353969967.51359993,371878871.04,0.0,,188.713872
1999-01-12,361432010.6496,364539156.48,2886954.3936,,188.805312
1999-01-13,374863688.2944,364539156.48,4477225.8816,,188.881512
1999-01-14,350960684.544,347168498.688,0.0,,188.71692
1999-01-15,353945501.7984,354263556.096,0.0,,188.783976
1999-01-16,336379118.28480005,332978383.872,0.0,,188.598048
1999-01-17,317883037.5936,313405811.712,0.0,,188.424312
1999-01-18,348416250.1632,357933413.376,16759014.912,,188.713872
1999-01-19,337993855.48800004,339584126.976,195725.7216,,188.62548
1999-01-20,350813890.2528,453105045.504,0.0,,188.713872
1999-01-21,347535484.416,338360841.216,195725.7216,,188.68644
1999-01-22,348024798.72,358667384.832,9761820.3648,,188.70168
1999-01-23,298530656.87039995,275728610.304,1932791.5008,,188.25972
1999-01-24,250895909.376,249060980.736,0.0,,187.918344
1999-01-25,344746392.88320005,366985728.0,9908614.656,,188.6712
1999-01-26,387585860.1984,396099929.08800006,23951935.180799995,,189.00038400000005
1999-01-27,391402511.7695999,389249528.832,8685328.896,,189.024768
1999-01-28,378460148.4288,367719699.456,1908325.7856,,188.948568
1999-01-29,377310259.8144,381420499.96800005,15633592.0128,,188.92723200000003
1999-01-30,329773375.1808,315607726.08,0.0,,188.543184
1999-01-31,308463737.2416,301906925.568,0.0,,188.329824
1999-02-01,342299821.36319995,357688756.224,0.0,,188.61938400000005
1999-02-02,424284432.9984,441850816.512,32881921.2288,,189.274704
1999-02-03,418461592.7808,417629758.4639999,25370946.6624,,189.26556
1999-02-04,423550461.5424,423012215.808,22141472.256,,189.314328
1999-02-05,419562549.9648,398301843.456,20037420.7488,,189.30518400000005
1999-02-06,381249239.9616,398301843.456,23829606.604800005,,188.966856
1999-02-07,346923841.5360001,398301843.456,4159171.584,,188.634624
1999-02-08,391573771.776,404173615.104,0.0,,189.024768
1999-02-09,408601909.5552,414693872.6400001,0.0,,189.213744
1999-02-10,401775975.0144,397567872.0,0.0,,189.088776
1999-02-11,424186570.1376,432309187.58399993,0.0,,189.302136
1999-02-12,396417983.3856,386068985.85600007,587177.1648,,189.015624
1999-02-13,348807701.6064,341296727.04,0.0,,188.649864
1999-02-14,325809929.3184,338605498.36800003,0.0,,188.387736
1999-02-15,321919880.6016,329553183.744,0.0,,188.3664
1999-02-16,375304071.168,379707899.9039999,0.0,,188.881512
1999-02-17,363193542.14399993,364539156.48,244657.152,,188.756544
1999-02-18,393873549.0048,396589243.392,0.0,,189.033912
1999-02-19,341003138.4576,329797840.896,0.0,,188.61938400000005
1999-02-20,322653852.0576,322947440.64,0.0,,188.415168
1999-02-21,308341408.6656,309735954.432,0.0,,188.314584
1999-02-22,403439643.648,416651129.856,0.0,,189.100968
1999-02-23,391255717.47839993,385824328.704,0.0,,189.049152
