date,outflow(m3/d),inflow(m3/d),spill(m3/d),wse(m),avg_temp(C)
1999-01-01,194893887.2832,197438321.664,0.0,215.197944,5.0
1999-01-02,284560733.4912,298481725.43999994,0.0,215.243664,
1999-01-03,322849577.7792,323436754.94399995,0.0,215.146128,
1999-01-04,374594565.4272,388760214.528,22043609.3952,215.368632,
1999-01-05,366227290.8288,367964356.608,5627114.495999999,215.365584,
1999-01-06,369481230.9504,367475042.304,7535440.2816,215.359488,
1999-01-07,333810218.1888,317320326.14399993,0.0,215.100408,
1999-01-08,347119567.2576,362092584.96,10569188.9664,215.271096,
1999-01-09,351768053.1456,342764669.952,220191.4368,215.216232,
1999-01-10,289625136.5376,277685867.52000004,0.0,215.085168,
1999-01-11,353969967.51359993,371878871.04,0.0,215.14308000000003,
1999-01-12,361432010.6496,364539156.48,2886954.3936,215.252808,
1999-01-13,374863688.2944,364539156.48,4477225.8816,215.255856,
1999-01-14,350960684.544,347168498.688,0.0,215.20404,
1999-01-15,353945501.7984,354263556.096,0.0,215.1888,
1999-01-16,336379118.28480005,332978383.872,0.0,215.09736000000004,
1999-01-17,317883037.5936,313405811.712,0.0,215.063832,
1999-01-18,348416250.1632,357933413.376,16759014.912,215.274144,
1999-01-19,337993855.48800004,339584126.976,195725.7216,215.216232,
1999-01-20,350813890.2528,453105045.504,0.0,215.17051200000003,
1999-01-21,347535484.416,338360841.216,195725.7216,215.24671200000003,
1999-01-22,348024798.72,358667384.832,9761820.3648,215.23452,
1999-01-23,298530656.87039995,275728610.304,1932791.5008,214.996776,
1999-01-24,250895909.376,249060980.736,0.0,215.072976,
1999-01-25,344746392.88320005,366985728.0,9908614.656,215.237568,
1999-01-26,387585860.1984,396099929.08800006,23951935.180799995,215.268048,
1999-01-27,391402511.7695999,389249528.832,8685328.896,215.237568,
1999-01-28,378460148.4288,367719699.456,1908325.7856,215.252808,
1999-01-29,377310259.8144,381420499.96800005,15633592.0128,215.32291200000003,
1999-01-30,329773375.1808,315607726.08,0.0,215.14308000000003,
1999-01-31,308463737.2416,301906925.568,0.0,215.152224,
1999-02-01,342299821.36319995,357688756.224,0.0,215.161368,
1999-02-02,424284432.9984,441850816.512,32881921.2288,215.380824,
1999-02-03,418461592.7808,417629758.4639999,25370946.6624,215.396064,
1999-02-04,423550461.5424,423012215.808,22141472.256,215.38692,
1999-02-05,419562549.9648,398301843.456,20037420.7488,215.396064,
