date,outflow(m3/d),inflow(m3/d),spill(m3/d),wse(m),avg_temp(C)
1999-01-01,438303287.808,452615731.2000001,0.0,48.399192,
1999-01-02,420859232.8704,422033587.2,0.0,48.368712,
1999-01-03,508935807.5904,488824989.696,0.0,48.289464,
1999-01-04,467074968.8832001,475124189.184,0.0,48.045624,
1999-01-05,470622497.5872001,474390217.728,0.0,48.182784000000005,
1999-01-06,480775769.3952,490048275.4560001,0.0,48.262032000000005,
1999-01-07,486084829.5936,487846361.088,0.0,48.18888,
1999-01-08,516226590.72,511333447.68,18349286.4,48.533304,
1999-01-09,552582643.5072,535065191.424,55047859.2,48.228504,
1999-01-10,508519890.4319999,517939190.784,0.0,48.179736,
1999-01-11,440236079.3088,444786702.336,0.0,48.228504,
1999-01-12,483197875.2,482463903.744,0.0,48.170592,
1999-01-13,545047203.2256,544117506.048,0.0,48.3108,
1999-01-14,547640569.0367999,553169820.6719999,0.0,48.2346,
1999-01-15,546319420.416,539958334.464,0.0,48.216312,
1999-01-16,548619197.6448001,556105706.4959999,0.0,48.21936,
1999-01-17,569659712.7168001,566381306.8799999,0.0,48.399192,
1999-01-18,544484491.776,543872848.8959999,0.0,48.319944,
1999-01-19,518061519.36,504972361.728,0.0,48.31689600000001,
1999-01-20,508886876.16,519162476.5439999,0.0,48.185832000000005,
1999-01-21,541426277.3759999,552191192.0639999,0.0,48.3108,
1999-01-22,556007843.6352,547298049.0239999,0.0,48.268128,
1999-01-23,560656329.5231999,578858821.632,23951935.180799995,48.368712,
1999-01-24,536435271.4752,522832333.824,0.0,48.380904,
1999-01-25,518012587.9296,515247962.112,0.0,48.091344,
1999-01-26,515566016.4096,524544933.8880001,0.0,48.277272,
1999-01-27,538808445.8496,538490391.5519999,0.0,48.322992,
1999-01-28,556179103.6416,548521334.7839999,0.0,48.344328,
1999-01-29,538001077.2479999,547053391.872,0.0,48.527208,
1999-01-30,547518240.4608,538245734.4,0.0,48.304704,
1999-01-31,511749364.8384,517449876.48,0.0,48.243744,
1999-02-01,547787363.328,557084335.104,0.0,48.380904,
1999-02-02,500862121.5744,489558961.152,0.0,48.213264,
1999-02-03,550307331.9936,544851477.504,0.0,48.167544,
1999-02-04,564644241.1008,572742392.8319999,0.0,47.999904,
1999-02-05,566503635.456,571029792.768,0.0,48.198024,
1999-02-06,520654885.1712,509131533.312,0.0,48.365664,
1999-02-07,528410516.8896,543138877.44,0.0,48.52416,
1999-02-08,583189253.2224,571519107.072,0.0,48.457104,
1999-02-09,553243217.8176,558307620.864,0.0,48.243744,
1999-02-10,543432466.0224,551212563.4560001,0.0,48.396144,
1999-02-11,539028637.2864,531150676.992,19009860.7104,48.347376,
1999-02-12,529756131.2255999,532129305.6,0.0,48.420528,
1999-02-13,550429660.5696,542160248.8319999,0.0,48.304704,
1999-02-14,521951568.0768,532618619.904,0.0,48.365664,
1999-02-15,525132111.0528,531639991.296,0.0,48.380904,
1999-02-16,491051369.7792,469741731.84,0.0,48.246792,
1999-02-17,484763680.9728,485155132.416,0.0,48.26508,
1999-02-18,511896159.1295999,508397561.85600007,0.0,48.28032,
1999-02-19,526159671.0912,532373962.752,1321148.6208,48.045624,
1999-02-20,547151254.7328,547787363.328,0.0,48.18888,
1999-02-21,514244867.7888,525034248.192,0.0,48.380904,
1999-02-22,482121383.7312,467050503.168,0.0,48.377856,
1999-02-23,529878459.8016001,517205219.328,0.0,48.2346,
1999-02-24,516569110.7328,536533134.3360001,0.0,48.167544,
1999-02-25,569879904.1536,581305393.152,0.0,48.487584000000005,
1999-02-26,572424338.5344,565158021.12,0.0,48.271176,
1999-02-27,574577321.472,572987049.984,0.0,48.243744,
1999-02-28,532740948.48,536043820.032,0.0,48.390048,
1999-03-01,485155132.416,489558961.152,0.0,48.073056,
1999-03-02,572742392.8319999,605526451.2,22092540.8256,48.542448,
1999-03-03,633833283.6863999,607973022.72,6532345.9584,48.387,
1999-03-04,633515229.3888,646873509.8879999,5602648.7808,48.161448,
1999-03-05,693407300.1984,694581654.5279999,21162843.648,48.533304,
1999-03-06,629600714.9567999,619961223.168,2030654.3616,48.152304,
1999-03-07,586418727.6287999,586687850.496,0.0,48.29556,
1999-03-08,561488163.84,571029792.768,0.0,48.350424,
1999-03-09,545854571.8272,547787363.328,0.0,48.457104,
1999-03-10,626444637.696,610419594.24,0.0,48.237648,
1999-03-11,633931146.5472001,634395995.136,0.0,48.182784000000005,
1999-03-12,590749159.2192,591336336.384,0.0,48.319944,
1999-03-13,569145932.6976,586443193.344,92773992.0384,48.170592,
1999-03-14,545927968.9727999,540202991.616,22435060.8384,48.414432000000005,
1999-03-15,583433910.3744,568338564.0960001,0.0,48.167544,
1999-03-16,573084912.8448,588155793.408,0.0,48.16449600000001,
1999-03-17,616976405.9136,611398222.848,0.0,48.274224,
1999-03-18,599434488.1151999,602835222.528,0.0,48.21936,
1999-03-19,596205013.7088,597697422.336,0.0,48.26508,
1999-03-20,541988988.8256,551212563.4560001,0.0,48.271176,
1999-03-21,561586026.7008,552191192.0639999,0.0,48.34128,
1999-03-22,566821689.7536,578124850.176,16710083.4816,48.44796,
1999-03-23,623704477.5935999,616780680.192,0.0,48.161448,
1999-03-24,655240784.4864,662042253.3119999,0.0,48.402240000000006,
1999-03-25,631680300.7488,632438737.92,23951935.180799995,48.624744,
1999-03-26,670947773.6448001,665956767.744,60136727.9616,48.579024,
1999-03-27,694092340.224,701676711.9359999,73910925.6192,48.35652,
1999-03-28,802548855.7055999,783881515.0079999,56784924.9792,48.228504,
1999-03-29,722912952.7296001,721738598.4,76871277.1584,48.167544,
1999-03-30,703560572.0063999,721004626.944,42105495.8592,48.140112,
1999-03-31,723010815.5903999,717334769.664,45579627.41759999,48.258984000000005,7.57
1999-04-01,657638424.5760001,643448309.76,0.0,48.137064,7.52
1999-04-02,666372684.9024,669871282.1760001,0.0,48.009048,7.61
1999-04-03,629820906.3936,632194080.7679999,0.0,48.2346,7.52
1999-04-04,646530989.8751999,644671595.52,0.0,48.380904,7.47
1999-04-05,603030948.2496,607483708.416,0.0,48.268128,7.5
1999-04-06,607973022.72,610174937.088,0.0,48.402240000000006,7.56
1999-04-07,624854366.208,602345908.224,0.0,48.20412,7.71
1999-04-08,618811334.5536001,634640652.2879999,3890048.7168,48.12792,7.68
1999-04-09,542086851.6864,540936963.0719999,0.0,48.322992,7.64
1999-04-10,466805846.016,456530245.632,0.0,48.033432000000005,7.81
1999-04-11,488971783.9872,505217018.88,0.0,47.96028,7.99
1999-04-12,485717843.8656,482708560.896,0.0,48.322992,8.18
1999-04-13,527015971.1232,523810962.432,36184792.78079999,48.347376,8.18
1999-04-14,589892859.1872,584975250.4319999,93679223.5008,48.057816,8.18
1999-04-15,538514857.2672,541915591.68,86657563.23840001,48.167544,8.35
1999-04-16,483564860.928,484910475.264,146182648.32,48.347376,8.59
1999-04-17,429887081.7792001,429617958.912,117141844.3776,48.170592,8.77
1999-04-18,512874787.7376,523076990.976,153938280.0384,48.14316,8.89
1999-04-19,536777791.4880001,525523562.496,158415505.92,48.216312,9.08
1999-04-20,605624314.0608,616291365.888,177278572.3392,48.3108,9.32
1999-04-21,677382256.7424,673296482.3039999,233451854.4384,48.29556,9.51
1999-04-22,711389600.8704,708527112.192,419171098.5216,48.274224,9.68
1999-04-23,796334564.0447999,810059830.272,499418644.3776,48.194976,9.89
1999-04-24,734338441.7279999,738619941.8879999,462304154.4192,48.207168,10.24
1999-04-25,765752420.0448,745225684.992,292365296.64,48.033432000000005,10.49
1999-04-26,692599931.5967999,707303826.432,209793507.84,48.380904,10.52
1999-04-27,733506607.4112,701676711.9359999,216839633.8176,48.161448,10.6
1999-04-28,812212813.2096001,837461431.296,496556155.6992,47.832264,10.65
1999-04-29,799661901.3120002,819846116.352,497681578.5984,48.16449600000001,10.64
1999-04-30,772015643.136,761862371.328,479234429.33759993,48.301656,10.85
1999-05-01,744051330.6624001,740332541.952,283704433.4592,48.060864,10.97
1999-05-02,743684344.9344001,737151998.976,222956062.6176,48.26508,10.93
1999-05-03,738228490.4448,741066513.408,221121133.9776,48.28032,10.91
1999-05-04,763941957.12,774584543.2320001,424480158.72,48.457104,10.77
1999-05-05,767587348.6848,768223457.28,468934363.2384,48.20412,10.71
1999-05-06,700575754.752,686507968.5120001,426217224.4992001,48.216312,10.9
1999-05-07,691841494.4256,693358368.7679999,263202164.1216,48.319944,10.82
1999-05-08,637698866.688,622897108.992,192153727.1808,48.198024,10.64
1999-05-09,618199691.6736,630970795.008,184618286.8992,48.1584,10.59
1999-05-10,758437171.1999999,756235256.832,413984366.8992,48.216312,10.73
1999-05-11,638873221.0175999,632438737.92,410828289.6384,48.213264,10.86
1999-05-12,589990722.048,582284021.76,372490513.92,48.097440000000006,10.84
1999-05-13,564179392.512,584241278.9760001,206025787.6992,48.304704,10.85
1999-05-14,659864804.6592,653479252.9920001,198783936.0,48.353472,11.03
1999-05-15,601514073.9072,610419594.24,174318220.79999998,48.2346,11.13
1999-05-16,623655546.1631999,615312737.28,346801512.96,48.301656,11.23
1999-05-17,626102117.6832,628524223.4879999,401433455.0016,48.243744,11.41
1999-05-18,653821773.0048,651277338.624,413054669.7216,48.2346,11.63
1999-05-19,652207035.8016,657883081.7279999,242308443.3408,48.262032000000005,11.94
1999-05-20,669137310.7199999,673296482.3039999,205927924.8384,48.228504,12.2
1999-05-21,680489402.5727999,681370168.3199999,203995133.3376,48.194976,12.42
1999-05-22,633637557.9648,631704766.464,349859727.36,48.533304,12.74
1999-05-23,633441832.2432001,624365051.904,401555783.5776,48.344328,13.16
1999-05-24,594149893.632,597697422.336,374325442.56,48.182784000000005,13.49
1999-05-25,709138755.072,722472569.8560002,258113295.36,48.255936,13.67
1999-05-26,816420916.2240001,807368601.5999999,245366657.7408,48.243744,13.82
1999-05-27,885438698.8032001,894466547.712,301955856.99840003,48.173640000000006,14.12
1999-05-28,916926074.2655998,920155548.672,453643291.2383999,48.054768,14.41
1999-05-29,891090279.0144,890796690.432,513780019.2,48.173640000000006,14.71
1999-05-30,891408333.3120002,883701633.0239999,506146716.0576,48.24069600000001,14.93
1999-05-31,818182447.7184,829632402.432,297576493.97760004,48.085248,15.0
1999-06-01,847663634.5344001,837216774.144,254957218.09919995,48.29556,14.92
1999-06-02,865303415.1935999,885658890.24,260364141.15840003,48.359568,14.66
1999-06-03,892435893.3504,895445176.3199999,473925369.1392,48.399192,14.52
1999-06-04,929281260.4416,908412005.376,513780019.2,48.1584,14.25
1999-06-05,889646801.8176,888105461.7599999,496458292.8384,48.149256,14.09
1999-06-06,915384734.208,938015520.768,513780019.2,48.35652,13.77
1999-06-07,846122294.4767998,825473230.848,308365874.3808,48.167544,13.6
1999-06-08,824005287.936,834036231.168,251801140.8384,48.182784000000005,13.49
1999-06-09,897108844.9535999,873670689.7919999,452420005.4784,48.021240000000006,13.61
1999-06-10,829583471.0015999,854587431.936,510819667.6608,48.26508,13.73
1999-06-11,745519273.5744,750363485.184,478011143.5776,48.46929600000001,13.9
1999-06-12,809399255.9616,790242600.9599999,320403006.2592,48.140112,14.08
1999-06-13,720931229.7984,724185169.92,222540145.4592,48.277272,14.3
1999-06-14,776615197.5936,769936057.344,241794663.3216,48.274224,14.53
1999-06-15,686459037.0816,696783568.896,382888442.88,48.429672,14.93
1999-06-16,843088545.7920002,840886631.424,507051947.52,48.18888,15.2
1999-06-17,899139499.3151999,906210091.008,513780019.2,48.444912,15.59
1999-06-18,835822228.3776001,832812945.4079999,323975000.6784,48.249840000000006,15.94
1999-06-19,857498852.0448,852874831.872,254859355.2384,48.271176,16.18
1999-06-20,833179931.1359999,834036231.168,250064075.0592,48.258984000000005,16.27
1999-06-21,801105378.5087999,797093001.2160001,428150016.0,48.26508,16.43
1999-06-22,788896986.624,790487258.1120001,491051369.7792,48.362616,16.47
1999-06-23,859113589.2479999,861927146.496,508691150.4384,48.26508,16.68
1999-06-24,868899875.3279998,858746603.52,333859149.61920005,48.228504,16.88
1999-06-25,762155959.9104,776541800.4479998,232938074.4192,48.12792,16.7
1999-06-26,831198208.2048,830121716.7360001,250479992.2176,48.37176,16.55
1999-06-27,772627286.0159999,758926485.504,413470586.88,48.243744,16.33
1999-06-28,704319009.1776,724185169.92,449141599.6416,48.408336,16.13
1999-06-29,739060324.7615999,722717227.0079999,297258439.68,48.423576,16.2
1999-06-30,763844094.2592,757947856.896,227726877.0816,48.2346,16.31
1999-07-01,704637063.4751999,684061396.9920001,212949585.1008,48.146208,16.47
1999-07-02,748186036.5311999,755990599.68,221830639.71840003,47.573184000000005,16.37
1999-07-03,678850199.6544001,670849910.7839999,374129716.8384,47.76216,16.41
1999-07-04,646164004.1472,650298710.0159999,407354158.08,47.65548,16.48
1999-07-05,661919924.7360001,667424710.656,423574927.2576,47.792640000000006,16.53
1999-07-06,617759308.8,608217679.872,241501074.7392,47.987712,16.74
1999-07-07,561830683.8527999,561488163.84,169327214.8992,47.89932,16.68
1999-07-08,640316698.2143999,643203652.6079999,194502435.84,47.874936,16.63
1999-07-09,669577693.5935999,662531567.6159999,375132811.1616,47.753016,16.92
1999-07-10,545952434.688,549989277.696,342838067.0976,47.768256,17.17
1999-07-11,687241939.9679999,691890425.8560001,418461592.7808,47.801784000000005,17.39
1999-07-12,639387001.0368,645650224.128,250871443.66080004,47.722536,17.69
1999-07-13,574724115.7631999,581794707.4560001,174122495.0784,47.862744,18.11
1999-07-14,693847683.0720001,681370168.3199999,207762853.4784,47.789592,18.07
1999-07-15,731206830.1824,725163798.528,389616514.56,47.771304,18.19
1999-07-16,645038581.2479999,633662023.68,409898592.46079993,47.65548,18.55
1999-07-17,599825939.5583999,609196308.48,374643496.8575999,47.76520800000001,18.35
1999-07-18,637821195.2639999,632928052.224,254541300.9408,47.844456,18.3
1999-07-19,603764919.7056,606260422.656,181046292.48,47.5488,18.7
1999-07-20,560998849.536,562222135.296,161473720.32,47.600616,18.92
1999-07-21,562589121.024,572253078.5279999,301857994.13759995,47.710344000000006,18.75
