date,outflow(m3/d),inflow(m3/d),spill(m3/d),avg_temp(C),wse_tail(m)
1999-01-01,170941952.1024,168324120.57599998,0.0,,149.150832
1999-01-02,249158843.5968,254443438.08,0.0,,149.711664
1999-01-03,301711199.8464,299215696.896,0.0,,150.059136
1999-01-04,321308237.72160006,325394012.16,0.0,,150.18410400000002
1999-01-05,330972195.22560006,330287155.2,6140894.515199999,,150.306024
1999-01-06,362997816.4224,358422727.68,16759014.912,,150.41270400000002
1999-01-07,336868432.58879995,341541384.192,0.0,,150.080472
1999-01-08,323975000.6784,326861955.072,0.0,,149.97684
1999-01-09,354067830.3744,352306298.88,0.0,,150.214584
1999-01-10,293270528.1024,288206125.05599993,0.0,,149.784816
1999-01-11,325516340.73600006,324660040.704,0.0,,150.001224
1999-01-12,349688467.3536,350104384.512,0.0,,150.168864
1999-01-13,369530162.3808,373836128.256,0.0,,150.29992800000002
1999-01-14,343572038.55359995,341786041.344,0.0,,150.08352
1999-01-15,343205052.8256,344721927.16800004,0.0,,150.080472
1999-01-16,348440715.8784,348636441.6,0.0,,150.138384
1999-01-17,322042209.1776,321724154.88,0.0,,149.99512800000002
1999-01-18,325712066.4576,326127983.61600006,0.0,,150.00732
1999-01-19,346361130.0864,346434527.232,0.0,,150.18410400000002
1999-01-20,342006232.7808,335424955.392,0.0,,150.135336
1999-01-21,334446326.784,334935641.08800006,0.0,,150.074376
1999-01-22,347706744.42239994,352306298.88,0.0,,150.165816
1999-01-23,305136399.9744,305576782.848,0.0,,149.836632
1999-01-24,248840789.2992,243433866.24,0.0,,149.47696800000003
1999-01-25,323559083.52,313895126.016,0.0,,150.004272
1999-01-26,354777336.11520004,369921613.824,0.0,,150.3426
1999-01-27,379365379.8912,379463242.752,0.0,,150.354792
1999-01-28,378680339.86559993,377995299.84,0.0,,150.4188
1999-01-29,349712933.06880003,350593698.816,0.0,,150.232872
1999-01-30,326201380.7616,326127983.61600006,0.0,,150.001224
1999-01-31,312940963.1232,312182525.952,0.0,,149.821392
1999-02-01,325858860.7488,325638669.312,0.0,,149.958552
1999-02-02,394265000.448,397323214.848,15658057.728,,150.501096
1999-02-03,396760503.3984,397567872.0,12355186.176,,150.56510400000002
1999-02-04,402803535.0528,402950329.344,16832412.0576,,150.613872
1999-02-05,398350774.8864,398301843.456,12966829.056,,150.52852800000002
1999-02-06,394191603.3024,391940757.504,7657768.8576,,150.52548000000002
1999-02-07,383646880.0512,382154471.4239999,0.0,,150.394416
1999-02-08,352746681.7536,350593698.816,0.0,,150.17496
1999-02-09,347926935.8592,351572327.424,0.0,,150.10790400000002
1999-02-10,386876354.4576,387047614.464,0.0,,150.41270400000002
1999-02-11,394583054.7456,395121300.48,6385551.667199999,,150.45232800000002
1999-02-12,393898014.72,393653357.568,2740160.1024,,150.46452
1999-02-13,363242473.5744,363315870.72,0.0,,150.15972
1999-02-14,322629386.3424,322702783.48800004,0.0,,149.83968000000002
1999-02-15,287667879.3216,281111067.648,0.0,,149.55012
1999-02-16,376086974.0544,376527356.928,76014977.1264,,150.309072
1999-02-17,357786619.0848,363315870.72,0.0,,150.13228800000002
1999-02-18,370117339.5456,369921613.824,0.0,,150.181056
1999-02-19,361554339.2256,361847927.808,35059369.8816,,150.199344
1999-02-20,309124311.552,307778697.216,0.0,,149.79091200000002
1999-02-21,288132727.9104,286248867.84,0.0,,149.681184
1999-02-22,374814756.864,378239956.992,0.0,,150.26030400000002
1999-02-23,394191603.3024,394142671.872,0.0,,150.24811200000002
1999-02-24,369138710.9376,361847927.808,0.0,,150.062184
1999-02-25,305405522.8416,305332125.696,0.0,,149.876256
1999-02-26,290995216.58879995,294322553.856,0.0,,149.76348000000002
1999-02-27,222222091.1616,220680751.104,0.0,,149.327616
1999-02-28,179651746.71360004,181780263.936,0.0,,149.025864
1999-03-01,285368102.0928,287472153.6,0.0,,149.733
1999-03-02,339192675.5328,339584126.976,0.0,,150.0378
1999-03-03,336256789.7088,338850155.52000004,0.0,,149.970744
1999-03-04,375450865.4592,375304071.168,0.0,,150.202392
1999-03-05,376160371.2,376038042.624,0.0,,150.211536
1999-03-06,357444099.072,357688756.224,0.0,,150.09876
1999-03-07,340122372.71040004,338605498.36800003,0.0,,149.964648
1999-03-08,362117050.6751999,363560527.8719999,0.0,,150.062184
1999-03-09,363193542.14399993,362581899.264,0.0,,150.16276800000003
1999-03-10,394265000.448,395121300.48,6532345.9584,,150.37308000000002
1999-03-11,361138422.06720006,361113956.352,0.0,,150.168864
1999-03-12,377603848.3968,377750642.688,0.0,,150.178008
1999-03-13,307485108.6336,303864182.784,0.0,,149.82444
1999-03-14,326274777.9072,324660040.704,0.0,,150.001224
1999-03-15,353921036.0832,357444099.072,6361085.952,,150.117048
1999-03-16,343376312.832,344721927.16800004,7535440.2816,,149.973792
1999-03-17,336305721.13920003,335424955.392,6997194.547199999,,150.016464
1999-03-18,300218791.2192,299215696.896,2740160.1024,,149.71776
1999-03-19,295374579.6096,293588582.40000004,7339714.56,,149.678136
1999-03-20,276120061.7472,272058753.024,0.0,,149.623272
1999-03-21,235482508.8,240497980.416,0.0,,149.34590400000002
1999-03-22,287863605.0432,281845039.10400003,0.0,,149.583648
1999-03-23,305674645.7088,310225268.736,0.0,,149.769576
1999-03-24,309907214.4384,309491297.28,0.0,,149.85492
1999-03-25,318201091.8912,320011554.81600004,0.0,,149.94636
1999-03-26,332782658.15040004,331510440.96,0.0,,150.01036800000003
1999-03-27,347486552.9856,349615070.208,1834928.64,,150.141432
1999-03-28,372343719.6288,374570099.712,2373174.3744,,150.306024
1999-03-29,377750642.688,376282699.776,0.0,,150.31516800000003
1999-03-30,382056608.5632,378484614.144,0.0,,150.339552
1999-03-31,370655585.28,375059414.016,0.0,5.4,150.226776
1999-04-01,372123528.192,372123528.192,0.0,5.52,150.178008
1999-04-02,337871526.912,336403584.0,0.0,5.6,149.906736
1999-04-03,334568655.35999995,331755098.112,0.0,5.64,149.87016
1999-04-04,345455898.62399995,349370413.056,0.0,5.66,149.99208000000002
1999-04-05,375108345.4464,375304071.168,0.0,5.76,150.245064
1999-04-06,370508790.9888,370166270.976,0.0,5.81,150.193248
1999-04-07,354679473.2544,351816984.57600003,0.0,5.95,150.046944
1999-04-08,351645724.56960005,351572327.424,0.0,6.05,150.00732
