date,outflow(m3/d),inflow(m3/d),spill(m3/d),avg_temp(C),wse(m)
1999-01-01,483075546.624,480751303.68,0.0,,6.059424
1999-01-02,464236945.92,460200102.912,0.0,,5.696712000000001
1999-01-03,519651790.848,538245734.4,0.0,,5.748528
1999-01-04,520703816.6016,483197875.2,0.0,,5.77596
1999-01-05,486256089.6,505217018.88,0.0,12.6,5.510784
1999-01-06,499320781.5168,504727704.576,0.0,12.4,5.526024
1999-01-07,498684672.9216,501057847.296,0.0,12.27,5.486400000000001
1999-01-08,523028059.5456,537022448.6400001,19841695.027199995,12.15,5.5351680000000005
1999-01-09,586589987.6352,581060736.0,46925241.75360001,12.2,5.8704480000000006
1999-01-10,534208891.392,542894220.2880001,3669857.28,,5.641848
1999-01-11,482659629.4656,456530245.632,0.0,,5.273040000000001
1999-01-12,496458292.8384,494941418.496,0.0,,5.233416000000001
1999-01-13,560998849.536,538979705.8560001,0.0,,5.708904
1999-01-14,583189253.2224,566870621.1839999,0.0,,6.074664
1999-01-15,541915591.68,582773336.0639999,0.0,,5.821680000000001
1999-01-16,580351230.2592,576901564.416,0.0,,6.166104000000001
1999-01-17,592877676.4416,600143993.8560001,0.0,,6.333744
1999-01-18,597085779.4560001,592314964.992,0.0,,6.5806320000000005
1999-01-19,589036559.1552,583262650.368,0.0,,6.620256
1999-01-20,559579838.0544,551946534.912,0.0,,6.437376
1999-01-21,577023892.992,606015765.5040001,0.0,,6.565392
1999-01-22,586663384.7808,602345908.224,25664535.2448,,6.547104
1999-01-23,632928052.224,619716566.016,32343675.4944,,6.82752
1999-01-24,607557105.5616,579348135.936,195725.7216,,6.754368
1999-01-25,528092462.592,546808734.72,0.0,,6.190488
1999-01-26,524202413.8752,527725476.864,0.0,,6.001512000000001
1999-01-27,550674317.7216,552435849.2160001,0.0,,6.03504
1999-01-28,589134422.016,576656907.2639999,0.0,,6.3246
1999-01-29,576852632.9856,534331219.96800005,0.0,,6.284976
1999-01-30,568216235.52,570295821.3119999,0.0,,6.288024
1999-01-31,487577238.2207999,525523562.496,0.0,,5.7363360000000005
1999-02-01,553756997.8368,566381306.8799999,41102401.536000006,,6.013704000000001
1999-02-02,556252500.7872,527236162.56,83697211.69919999,,6.059424
1999-02-03,547616103.3216,572987049.984,95881137.8688,,5.998464
1999-02-04,618884731.6992,580082107.3920001,166269000.4992,,6.556248000000001
1999-02-05,520948473.7536,571763764.2240001,0.0,,5.897880000000001
1999-02-06,555078146.4576,538490391.5519999,0.0,,6.0624720000000005
1999-02-07,567751386.9312,570295821.3119999,0.0,,6.272784
1999-02-08,585219907.5839999,609196308.48,24221058.048000004,4.32,6.367272000000001
1999-02-09,607606036.9920001,591580993.536,36967695.66719999,4.27,6.495288
1999-02-10,580889475.9936,576167592.96,0.0,4.11,6.355080000000001
1999-02-11,579079013.0688,551946534.912,0.0,4.07,6.147816000000001
1999-02-12,586296399.0527999,566625964.032,0.0,4.09,6.0624720000000005
1999-02-13,541744331.6736,566870621.1839999,0.0,4.17,5.7180480000000005
1999-02-14,568827878.4,543628191.744,0.0,4.22,5.891784
1999-02-15,535554505.728,549010649.088,0.0,4.23,5.620512000000001
1999-02-16,507810384.6912,508886876.16,0.0,4.26,5.446776000000001
1999-02-17,524373673.8816,520141105.152,0.0,4.28,5.574792
1999-02-18,516593576.448,532373962.752,0.0,4.21,5.507736
1999-02-19,579323670.2207999,560020220.928,0.0,4.2,6.096
1999-02-20,572913652.8384,579837450.24,0.0,4.14,6.0624720000000005
1999-02-21,523346113.8432,560998849.536,0.0,4.2,5.779008
1999-02-22,531052814.1312001,518917819.3919999,0.0,4.33,5.742432
1999-02-23,560949918.1056,568093906.9439999,0.0,4.62,5.95884
1999-02-24,625490474.8032,584485936.128,0.0,4.86,6.541008000000001
1999-02-25,576656907.2639999,624609709.0560001,0.0,4.99,6.428232
1999-02-26,641809106.8416001,602835222.528,0.0,5.04,6.793992
1999-02-27,648023398.5024,652011310.0799999,0.0,,6.854952
1999-02-28,637943523.84,649564738.56,0.0,,7.050024
1999-03-01,556252500.7872,562711449.5999999,0.0,5.26,6.6568320000000005
1999-03-02,610590854.2464001,606749736.96,0.0,5.27,6.748272000000001
1999-03-03,659057436.0575999,678923596.8,6336620.236799999,5.27,7.135368000000001
1999-03-04,672929496.576,670360596.4799999,28086641.0496,5.33,7.239000000000001
1999-03-05,716869921.0752,722227912.7039999,76748948.5824,5.5,7.357872
1999-03-06,667473642.0863999,655681167.3600001,36111395.6352,5.55,7.065264
1999-03-07,648292521.3696,620695194.624,0.0,5.59,6.809232000000001
1999-03-08,566699361.1776,594761536.512,0.0,5.55,6.153912000000001
1999-03-09,547322514.7392,570540478.464,4477225.8816,5.62,5.8521600000000005
1999-03-10,679388445.3888,657149110.2720001,73788597.0432,5.65,6.510528
1999-03-11,702777669.1199999,665712110.5920001,60895165.1328,,6.757416000000001
1999-03-12,582504213.1968001,611887537.152,0.0,,6.00456
1999-03-13,615850983.0144,598920708.0960001,78583877.22239998,,6.135624
1999-03-14,575751675.8016001,575188964.3519999,43744698.777600005,,5.961888
1999-03-15,585953879.0400001,590357707.776,22435060.8384,,5.974080000000001
1999-03-16,639998643.9167999,635374623.744,74840622.7968,5.76,6.306312000000001
