date,avg discharge (cfs),outflow(m3/d)
1986-04-01 00:00:00+00:00,0.0,0.0
1986-04-02 00:00:00+00:00,0.0,0.0
1986-04-03 00:00:00+00:00,0.0,0.0
1986-04-04 00:00:00+00:00,0.0,0.0
1986-04-05 00:00:00+00:00,0.0,0.0
1986-04-06 00:00:00+00:00,0.0,0.0
1986-04-07 00:00:00+00:00,0.0,0.0
1986-04-08 00:00:00+00:00,0.0,0.0
1986-04-09 00:00:00+00:00,0.0,0.0
1986-04-10 00:00:00+00:00,0.0,0.0
1986-04-11 00:00:00+00:00,1.0,2446.57152
1986-04-12 00:00:00+00:00,2.0,4893.14304
1986-04-13 00:00:00+00:00,3.0,7339.714559999999
1986-04-14 00:00:00+00:00,3.4,8318.343168
1986-04-15 00:00:00+00:00,4.5,11009.57184
1986-04-16 00:00:00+00:00,8.0,19572.57216
1986-04-17 00:00:00+00:00,8.8,21529.829376
1986-04-18 00:00:00+00:00,1.5,3669.85728
1986-04-19 00:00:00+00:00,1.5,3669.85728
1986-04-20 00:00:00+00:00,8.0,19572.57216
1986-04-21 00:00:00+00:00,4.2,10275.600384
1986-04-22 00:00:00+00:00,1.5,3669.85728
1986-04-23 00:00:00+00:00,1.5,3669.85728
1986-04-24 00:00:00+00:00,8.0,19572.57216
1986-04-25 00:00:00+00:00,8.0,19572.57216
1986-04-26 00:00:00+00:00,1.0,2446.57152
1986-04-27 00:00:00+00:00,1.1,2691.228672
1986-04-28 00:00:00+00:00,2.47,6043.031654400001
1986-04-29 00:00:00+00:00,2.5,6116.4288
1986-04-30 00:00:00+00:00,2.11,5162.2659072
1986-05-01 00:00:00+00:00,2.39,5847.3059328
1986-05-02 00:00:00+00:00,1.13,2764.625817599999
1986-05-03 00:00:00+00:00,0.02,48.9314304
1986-05-04 00:00:00+00:00,0.0,0.0
1986-05-05 00:00:00+00:00,0.0,0.0
1986-05-06 00:00:00+00:00,4.7,11498.886144
1986-05-07 00:00:00+00:00,4.11,10055.4089472
1986-05-08 00:00:00+00:00,4.1,10030.943232
1986-05-09 00:00:00+00:00,4.1,10030.943232
1986-05-10 00:00:00+00:00,2.44,5969.634508799999
1986-05-11 00:00:00+00:00,4.06,9933.0803712
1986-05-12 00:00:00+00:00,4.3,10520.257536
1986-05-13 00:00:00+00:00,2.44,5969.634508799999
1986-05-14 00:00:00+00:00,4.06,9933.0803712
1986-05-15 00:00:00+00:00,4.1,10030.943232
1986-05-16 00:00:00+00:00,4.1,10030.943232
1986-05-17 00:00:00+00:00,3.12,7633.3031424
1986-05-18 00:00:00+00:00,3.1,7584.371712
1986-05-19 00:00:00+00:00,4.08,9982.0118016
1986-05-20 00:00:00+00:00,3.12,7633.3031424
1986-05-21 00:00:00+00:00,4.08,9982.0118016
1986-05-22 00:00:00+00:00,4.3,10520.257536
1986-05-23 00:00:00+00:00,4.1,10030.943232
1986-05-24 00:00:00+00:00,3.12,7633.3031424
1986-05-25 00:00:00+00:00,2.41,5896.237363200001
1986-05-26 00:00:00+00:00,1.32,3229.4744064
1986-05-27 00:00:00+00:00,0.03,73.3971456
1986-05-28 00:00:00+00:00,2.35,5749.443072
1986-05-29 00:00:00+00:00,2.4,5871.771647999999
1986-05-30 00:00:00+00:00,1.22,2984.8172543999995
1986-05-31 00:00:00+00:00,0.02,48.9314304
1986-06-01 00:00:00+00:00,0.0,0.0
1986-06-02 00:00:00+00:00,0.44,1076.4914688
1986-06-03 00:00:00+00:00,3.04,7437.577420799999
1986-06-04 00:00:00+00:00,5.25,12844.50048
1986-06-05 00:00:00+00:00,3.15,7706.700288
1986-06-06 00:00:00+00:00,5.25,12844.50048
1986-06-07 00:00:00+00:00,5.3,12966.829056
1986-06-08 00:00:00+00:00,8.43,20624.5979136
1986-06-09 00:00:00+00:00,4.19,10251.1346688
1986-06-10 00:00:00+00:00,4.3,10520.257536
1986-06-11 00:00:00+00:00,4.6,11254.228991999998
1986-06-12 00:00:00+00:00,4.8,11743.543295999998
1986-06-13 00:00:00+00:00,5.29,12942.3633408
1986-06-14 00:00:00+00:00,5.3,12966.829056
1986-06-15 00:00:00+00:00,5.3,12966.829056
1986-06-16 00:00:00+00:00,5.3,12966.829056
1986-06-17 00:00:00+00:00,5.3,12966.829056
1986-06-18 00:00:00+00:00,5.3,12966.829056
1986-06-19 00:00:00+00:00,4.71,11523.3518592
1986-06-20 00:00:00+00:00,4.11,10055.4089472
1986-06-21 00:00:00+00:00,4.1,10030.943232
1986-06-22 00:00:00+00:00,4.49,10985.1061248
1986-06-23 00:00:00+00:00,5.28,12917.8976256
1986-06-24 00:00:00+00:00,3.34,8171.5488768
1986-06-25 00:00:00+00:00,2.42,5920.703078399999
1986-06-26 00:00:00+00:00,3.57,8734.260326399999
1986-06-27 00:00:00+00:00,4.09,10006.4775168
1986-06-28 00:00:00+00:00,3.9,9541.628928
1986-06-29 00:00:00+00:00,5.27,12893.4319104
1986-06-30 00:00:00+00:00,4.12,10079.8746624
1986-07-01 00:00:00+00:00,3.12,7633.3031424
1986-07-02 00:00:00+00:00,3.1,7584.371712
1986-07-03 00:00:00+00:00,4.47,10936.1746944
1986-07-04 00:00:00+00:00,6.26,15315.5377152
1986-07-05 00:00:00+00:00,8.45,20673.529344
1986-07-06 00:00:00+00:00,8.5,20795.85792
1986-07-07 00:00:00+00:00,4.19,10251.1346688
1986-07-08 00:00:00+00:00,4.1,10030.943232
1986-07-09 00:00:00+00:00,4.98,12183.9261696
1986-07-10 00:00:00+00:00,5.0,12232.8576
1986-07-11 00:00:00+00:00,5.0,12232.8576
1986-07-12 00:00:00+00:00,5.29,12942.3633408
1986-07-13 00:00:00+00:00,5.3,12966.829056
1986-07-14 00:00:00+00:00,5.3,12966.829056
1986-07-15 00:00:00+00:00,4.52,11058.503270399997
1986-07-16 00:00:00+00:00,4.5,11009.57184
1986-07-17 00:00:00+00:00,5.28,12917.8976256
1986-07-18 00:00:00+00:00,5.01,12257.3233152
1986-07-19 00:00:00+00:00,5.29,12942.3633408
1986-07-20 00:00:00+00:00,3.15,7706.700288
1986-07-21 00:00:00+00:00,4.08,9982.0118016
1986-07-22 00:00:00+00:00,3.32,8122.6174464
1986-07-23 00:00:00+00:00,2.91,7119.523123200001
1986-07-24 00:00:00+00:00,3.59,8783.1917568
1986-07-25 00:00:00+00:00,3.89,9517.1632128
1986-07-26 00:00:00+00:00,3.12,7633.3031424
1986-07-27 00:00:00+00:00,3.1,7584.371712
1986-07-28 00:00:00+00:00,3.88,9492.6974976
1986-07-29 00:00:00+00:00,3.9,9541.628928
1986-07-30 00:00:00+00:00,4.1,10030.943232
1986-07-31 00:00:00+00:00,4.1,10030.943232
1986-08-01 00:00:00+00:00,4.1,10030.943232
1986-08-02 00:00:00+00:00,4.1,10030.943232
1986-08-03 00:00:00+00:00,4.1,10030.943232
1986-08-04 00:00:00+00:00,3.12,7633.3031424
1986-08-05 00:00:00+00:00,3.1,7584.371712
1986-08-06 00:00:00+00:00,1.24,3033.7486848
1986-08-07 00:00:00+00:00,1.79,4379.3630208
1986-08-08 00:00:00+00:00,1.8,4403.828736
1986-08-09 00:00:00+00:00,2.39,5847.3059328
1986-08-10 00:00:00+00:00,1.52,3718.7887104
1986-08-11 00:00:00+00:00,3.07,7510.9745664
1986-08-12 00:00:00+00:00,2.41,5896.237363200001
1986-08-13 00:00:00+00:00,1.81,4428.2944512
1986-08-14 00:00:00+00:00,2.88,7046.1259776
1986-08-15 00:00:00+00:00,3.1,7584.371712
1986-08-16 00:00:00+00:00,4.08,9982.0118016
1986-08-17 00:00:00+00:00,4.1,10030.943232
1986-08-18 00:00:00+00:00,4.1,10030.943232
1986-08-19 00:00:00+00:00,20.6,50399.373312
1986-08-20 00:00:00+00:00,4.65,11376.557568
1986-08-21 00:00:00+00:00,4.01,9810.7517952
1986-08-22 00:00:00+00:00,4.1,10030.943232
1986-08-23 00:00:00+00:00,3.12,7633.3031424
1986-08-24 00:00:00+00:00,3.1,7584.371712
1986-08-25 00:00:00+00:00,3.1,7584.371712
1986-08-26 00:00:00+00:00,2.22,5431.3887744
1986-08-27 00:00:00+00:00,1.91,4672.9516032
1986-08-28 00:00:00+00:00,2.68,6556.8116736
1986-08-29 00:00:00+00:00,3.09,7559.9059968
1986-08-30 00:00:00+00:00,5.25,12844.50048
1986-08-31 00:00:00+00:00,5.3,12966.829056
1986-09-01 00:00:00+00:00,4.12,10079.8746624
1986-09-02 00:00:00+00:00,4.1,10030.943232
1986-09-03 00:00:00+00:00,4.1,10030.943232
1986-09-04 00:00:00+00:00,4.1,10030.943232
1986-09-05 00:00:00+00:00,4.69,11474.4204288
1986-09-06 00:00:00+00:00,5.29,12942.3633408
1986-09-07 00:00:00+00:00,5.3,12966.829056
1986-09-08 00:00:00+00:00,4.71,11523.3518592
1986-09-09 00:00:00+00:00,4.11,10055.4089472
1986-09-10 00:00:00+00:00,4.1,10030.943232
1986-09-11 00:00:00+00:00,4.1,10030.943232
1986-09-12 00:00:00+00:00,3.61,8832.1231872
1986-09-13 00:00:00+00:00,3.11,7608.8374272
1986-09-14 00:00:00+00:00,6.62,16196.3034624
1986-09-15 00:00:00+00:00,5.33,13040.2262016
1986-09-16 00:00:00+00:00,5.3,12966.829056
1986-09-17 00:00:00+00:00,8.43,20624.5979136
1986-09-18 00:00:00+00:00,5.4,13211.486208
1986-09-19 00:00:00+00:00,8.83,21603.2265216
1986-09-20 00:00:00+00:00,5.57,13627.4033664
1986-09-21 00:00:00+00:00,5.62,13749.7319424
1986-09-22 00:00:00+00:00,5.7,13945.457664
1986-09-23 00:00:00+00:00,4.33,10593.6546816
1986-09-24 00:00:00+00:00,4.99,12208.3918848
1986-09-25 00:00:00+00:00,4.31,10544.7232512
1986-09-26 00:00:00+00:00,7.75,18960.92928
1986-09-27 00:00:00+00:00,5.16,12624.3090432
1986-09-28 00:00:00+00:00,5.1,12477.514752
1986-09-29 00:00:00+00:00,5.27,12893.4319104
1986-09-30 00:00:00+00:00,6.28,15364.4691456
1986-10-01 00:00:00+00:00,4.55,11131.900416
1986-10-02 00:00:00+00:00,3.33,8147.0831616
1986-10-03 00:00:00+00:00,3.3,8073.686016
1986-10-04 00:00:00+00:00,2.42,5920.703078399999
1986-10-05 00:00:00+00:00,1.81,4428.2944512
1986-10-06 00:00:00+00:00,2.39,5847.3059328
1986-10-07 00:00:00+00:00,3.28,8024.754585599999
1986-10-08 00:00:00+00:00,2.42,5920.703078399999
1986-10-09 00:00:00+00:00,3.33,8147.0831616
1986-10-10 00:00:00+00:00,3.4,8318.343168
1986-10-11 00:00:00+00:00,3.4,8318.343168
1986-10-12 00:00:00+00:00,3.4,8318.343168
1986-10-13 00:00:00+00:00,6.24,15266.6062848
1986-10-14 00:00:00+00:00,6.42,15706.9891584
1986-10-15 00:00:00+00:00,8.07,19743.8321664
1986-10-16 00:00:00+00:00,4.0,9786.28608
1986-10-17 00:00:00+00:00,0.0,0.0
1986-10-18 00:00:00+00:00,0.0,0.0
1986-10-19 00:00:00+00:00,0.0,0.0
1986-10-20 00:00:00+00:00,0.0,0.0
1986-10-21 00:00:00+00:00,0.0,0.0
1986-10-22 00:00:00+00:00,0.0,0.0
1986-10-23 00:00:00+00:00,0.0,0.0
1986-10-24 00:00:00+00:00,0.0,0.0
1986-10-25 00:00:00+00:00,0.0,0.0
1986-10-26 00:00:00+00:00,0.0,0.0
1986-10-27 00:00:00+00:00,0.0,0.0
1986-10-28 00:00:00+00:00,0.0,0.0
1986-10-29 00:00:00+00:00,0.0,0.0
1986-10-30 00:00:00+00:00,0.0,0.0
1986-10-31 00:00:00+00:00,0.0,0.0
1987-03-01 00:00:00+00:00,0.0,0.0
1987-03-02 00:00:00+00:00,0.0,0.0
1987-03-03 00:00:00+00:00,0.0,0.0
1987-03-04 00:00:00+00:00,0.0,0.0
1987-03-05 00:00:00+00:00,0.0,0.0
1987-03-06 00:00:00+00:00,0.0,0.0
1987-03-07 00:00:00+00:00,0.0,0.0
1987-03-08 00:00:00+00:00,0.0,0.0
1987-03-09 00:00:00+00:00,0.0,0.0
1987-03-10 00:00:00+00:00,0.0,0.0
1987-03-11 00:00:00+00:00,0.0,0.0
1987-03-12 00:00:00+00:00,0.0,0.0
1987-03-13 00:00:00+00:00,0.0,0.0
1987-03-14 00:00:00+00:00,0.0,0.0
1987-03-15 00:00:00+00:00,0.0,0.0
1987-03-16 00:00:00+00:00,0.0,0.0
1987-03-17 00:00:00+00:00,0.0,0.0
1987-03-18 00:00:00+00:00,0.0,0.0
1987-03-19 00:00:00+00:00,0.0,0.0
1987-03-20 00:00:00+00:00,0.0,0.0
1987-03-21 00:00:00+00:00,0.0,0.0
1987-03-22 00:00:00+00:00,0.0,0.0
1987-03-23 00:00:00+00:00,0.0,0.0
1987-03-24 00:00:00+00:00,0.0,0.0
1987-03-25 00:00:00+00:00,0.0,0.0
1987-03-26 00:00:00+00:00,0.0,0.0
1987-03-27 00:00:00+00:00,0.0,0.0
1987-03-28 00:00:00+00:00,0.0,0.0
1987-03-29 00:00:00+00:00,0.0,0.0
1987-03-30 00:00:00+00:00,0.0,0.0
1987-03-31 00:00:00+00:00,1.7,4159.171584
1987-04-01 00:00:00+00:00,3.4,8318.343168
1987-04-02 00:00:00+00:00,6.0,14679.42912
1987-04-03 00:00:00+00:00,9.0,22019.14368
1987-04-04 00:00:00+00:00,12.0,29358.85824
1987-04-05 00:00:00+00:00,7.6,18593.943552
1987-04-06 00:00:00+00:00,4.1,10030.943232
1987-04-07 00:00:00+00:00,1.3,3180.542976
1987-04-08 00:00:00+00:00,7.6,18593.943552
1987-04-09 00:00:00+00:00,9.8,23976.400896000003
1987-04-10 00:00:00+00:00,7.6,18593.943552
1987-04-11 00:00:00+00:00,7.6,18593.943552
1987-04-12 00:00:00+00:00,12.0,29358.85824
1987-04-13 00:00:00+00:00,7.6,18593.943552
1987-04-14 00:00:00+00:00,7.6,18593.943552
1987-04-15 00:00:00+00:00,7.6,18593.943552
1987-04-16 00:00:00+00:00,7.6,18593.943552
