date,max_temp(C),min_temp(C),avg_temp(C),avg discharge (cfs),outflow(m3/d)
1982-08-01 00:00:00+00:00,,,,132000.0,322947440.64
1982-08-02 00:00:00+00:00,,,,177000.0,433043159.04
1982-08-03 00:00:00+00:00,,,,164000.0,401237729.28
1982-08-04 00:00:00+00:00,,,,177000.0,433043159.04
1982-08-05 00:00:00+00:00,,,,213000.0,521119733.76
1982-08-06 00:00:00+00:00,,,,234000.0,572497735.68
1982-08-07 00:00:00+00:00,,,,230000.0,562711449.5999999
1982-08-08 00:00:00+00:00,,,,217000.0,530906019.84
1982-08-09 00:00:00+00:00,,,,210000.0,513780019.2000001
1982-08-10 00:00:00+00:00,,,,180000.0,440382873.6
1982-08-11 00:00:00+00:00,,,,176000.0,430596587.52
1982-08-12 00:00:00+00:00,,,,207000.0,506440304.64
1982-08-13 00:00:00+00:00,,,,173000.0,423256872.96
1982-08-14 00:00:00+00:00,,,,153000.0,374325442.56
1982-08-15 00:00:00+00:00,,,,117000.0,286248867.84
1982-08-16 00:00:00+00:00,,,,148000.0,362092584.96
1982-08-17 00:00:00+00:00,,,,166000.0,406130872.31999993
1982-08-18 00:00:00+00:00,,,,177000.0,433043159.04
1982-08-19 00:00:00+00:00,,,,180000.0,440382873.6
1982-08-20 00:00:00+00:00,,,,203000.0,496654018.56
1982-08-21 00:00:00+00:00,,,,153000.0,374325442.56
1982-08-22 00:00:00+00:00,,,,134000.0,327840583.68
1982-08-23 00:00:00+00:00,,,,145000.0,354752870.4
1982-08-24 00:00:00+00:00,,,,147000.0,359646013.44
1982-08-25 00:00:00+00:00,,,,132000.0,322947440.64
1982-08-26 00:00:00+00:00,,,,110000.0,269122867.2
1982-08-27 00:00:00+00:00,,,,104000.0,254443438.08
1982-08-28 00:00:00+00:00,,,,97000.0,237317437.44
1982-08-29 00:00:00+00:00,,,,93200.0,228020465.664
1982-08-30 00:00:00+00:00,,,,113000.0,276462581.76
1982-08-31 00:00:00+00:00,,,,148000.0,362092584.96
1982-09-01 00:00:00+00:00,,,,145000.0,354752870.4
1982-09-02 00:00:00+00:00,,,,134000.0,327840583.68
1982-09-03 00:00:00+00:00,,,,124000.0,303374868.48
1982-09-04 00:00:00+00:00,,,,95800.0,234381551.616
1982-09-05 00:00:00+00:00,,,,99700.0,243923180.544
1982-09-06 00:00:00+00:00,,,,104000.0,254443438.08
1982-09-07 00:00:00+00:00,,,,145000.0,354752870.4
1982-09-08 00:00:00+00:00,,,,164000.0,401237729.28
1982-09-09 00:00:00+00:00,,,,178000.0,435489730.56
1982-09-10 00:00:00+00:00,,,,161000.0,393898014.72
1982-09-11 00:00:00+00:00,,,,136000.0,332733726.72
1982-09-12 00:00:00+00:00,,,,127000.0,310714583.04
1982-09-13 00:00:00+00:00,,,,142000.0,347413155.84
1982-09-14 00:00:00+00:00,,,,157000.0,384111728.6400001
1982-09-15 00:00:00+00:00,,,,164000.0,401237729.28
1982-09-16 00:00:00+00:00,,,,137000.0,335180298.24
1982-09-17 00:00:00+00:00,,,,136000.0,332733726.72
1982-09-18 00:00:00+00:00,,,,102000.0,249550295.04
1982-09-19 00:00:00+00:00,,,,105000.0,256890009.6
1982-09-20 00:00:00+00:00,,,,129000.0,315607726.08
1982-09-21 00:00:00+00:00,,,,117000.0,286248867.84
1982-09-22 00:00:00+00:00,,,,116000.0,283802296.32
1982-09-23 00:00:00+00:00,,,,117000.0,286248867.84
1982-09-24 00:00:00+00:00,,,,117000.0,286248867.84
1982-09-25 00:00:00+00:00,,,,98200.0,240253323.26400003
1982-09-26 00:00:00+00:00,,,,91200.0,223127322.624
1982-09-27 00:00:00+00:00,,,,111000.0,271569438.72
1982-09-28 00:00:00+00:00,,,,118000.0,288695439.36
1982-09-29 00:00:00+00:00,,,,114000.0,278909153.28
1982-09-30 00:00:00+00:00,,,,110000.0,269122867.2
1982-10-01 00:00:00+00:00,,,,112000.0,274016010.24
1982-10-02 00:00:00+00:00,,,,101000.0,247103723.52
1982-10-03 00:00:00+00:00,,,,85000.0,207958579.2
1982-10-04 00:00:00+00:00,,,,98900.0,241965923.328
1982-10-05 00:00:00+00:00,,,,110000.0,269122867.2
1982-10-06 00:00:00+00:00,,,,121000.0,296035153.92
1982-10-07 00:00:00+00:00,,,,126000.0,308268011.52
1982-10-08 00:00:00+00:00,,,,127000.0,310714583.04
1982-10-09 00:00:00+00:00,,,,110000.0,269122867.2
1982-10-10 00:00:00+00:00,,,,96300.0,235604837.376
