date,max_temp(C),min_temp(C),avg_temp(C)
2014-04-11 00:00:00+00:00,13.5,9.4,10.8
2014-04-12 00:00:00+00:00,13.6,10.0,11.0
2014-04-13 00:00:00+00:00,13.8,9.7,11.0
2014-04-14 00:00:00+00:00,13.1,10.0,11.0
2014-04-15 00:00:00+00:00,12.2,10.3,10.9
2014-04-16 00:00:00+00:00,11.2,10.5,10.8
2014-04-17 00:00:00+00:00,11.2,10.4,10.7
2014-04-18 00:00:00+00:00,12.5,9.7,10.7
2014-04-19 00:00:00+00:00,12.4,10.2,10.7
2014-04-20 00:00:00+00:00,12.2,9.9,10.8
2014-04-21 00:00:00+00:00,12.8,10.5,11.2
2014-04-22 00:00:00+00:00,12.2,10.6,11.1
2014-04-23 00:00:00+00:00,10.9,10.2,10.6
2014-04-24 00:00:00+00:00,12.9,10.5,11.2
2014-04-25 00:00:00+00:00,13.2,10.3,11.3
2014-04-26 00:00:00+00:00,11.4,10.0,10.7
2014-04-27 00:00:00+00:00,11.8,10.0,10.8
2014-04-28 00:00:00+00:00,13.1,9.9,11.2
2014-04-29 00:00:00+00:00,14.5,10.6,12.0
2014-04-30 00:00:00+00:00,15.0,10.8,12.3
2014-05-01 00:00:00+00:00,15.0,11.2,12.6
2014-05-02 00:00:00+00:00,15.0,11.4,12.6
2014-05-03 00:00:00+00:00,13.2,11.6,12.0
2014-05-04 00:00:00+00:00,12.9,11.7,12.0
2014-05-05 00:00:00+00:00,14.9,11.8,12.5
2014-05-06 00:00:00+00:00,16.6,11.8,13.3
2014-05-07 00:00:00+00:00,16.4,11.8,13.2
2014-05-08 00:00:00+00:00,13.8,12.2,12.6
2014-05-09 00:00:00+00:00,12.8,11.8,12.3
2014-05-10 00:00:00+00:00,14.0,11.4,12.5
2014-05-11 00:00:00+00:00,15.5,11.5,13.0
2014-05-12 00:00:00+00:00,16.3,12.4,13.5
2014-05-13 00:00:00+00:00,17.0,12.8,14.2
2014-05-14 00:00:00+00:00,17.4,13.1,14.7
2014-05-15 00:00:00+00:00,17.0,13.3,14.5
2014-05-16 00:00:00+00:00,15.7,13.4,14.2
2014-05-17 00:00:00+00:00,16.1,13.6,14.5
2014-05-18 00:00:00+00:00,15.6,13.8,14.3
2014-05-19 00:00:00+00:00,18.1,13.8,14.7
2014-05-20 00:00:00+00:00,17.9,14.0,15.1
2014-05-21 00:00:00+00:00,18.9,14.3,15.4
2014-05-22 00:00:00+00:00,19.2,14.6,15.9
2014-05-23 00:00:00+00:00,17.2,15.0,15.8
2014-05-24 00:00:00+00:00,17.3,15.0,15.7
2014-05-25 00:00:00+00:00,16.0,14.8,15.3
2014-05-26 00:00:00+00:00,16.4,14.4,15.2
2014-05-27 00:00:00+00:00,17.1,13.9,15.4
2014-05-28 00:00:00+00:00,15.7,14.4,15.0
2014-05-29 00:00:00+00:00,15.8,14.4,15.1
2014-05-30 00:00:00+00:00,17.2,13.7,15.4
2014-05-31 00:00:00+00:00,17.2,14.9,15.9
2014-06-01 00:00:00+00:00,17.8,15.3,16.3
2014-06-02 00:00:00+00:00,17.4,15.5,16.1
2014-06-03 00:00:00+00:00,17.0,15.4,16.1
2014-06-04 00:00:00+00:00,19.3,15.5,16.5
2014-06-05 00:00:00+00:00,19.9,15.0,16.5
2014-06-06 00:00:00+00:00,20.2,15.4,16.9
2014-06-07 00:00:00+00:00,20.0,15.7,17.2
2014-06-08 00:00:00+00:00,19.8,16.2,17.4
2014-06-09 00:00:00+00:00,19.3,16.4,17.3
2014-06-10 00:00:00+00:00,19.5,15.8,17.2
2014-06-11 00:00:00+00:00,19.8,16.0,17.5
2014-06-12 00:00:00+00:00,17.3,16.7,17.1
2014-06-13 00:00:00+00:00,17.0,15.5,16.5
2014-06-14 00:00:00+00:00,17.0,15.5,16.4
2014-06-15 00:00:00+00:00,17.1,15.6,16.4
2014-06-16 00:00:00+00:00,16.9,15.2,16.2
2014-06-17 00:00:00+00:00,16.6,15.0,15.9
2014-06-18 00:00:00+00:00,17.7,15.4,16.3
2014-06-19 00:00:00+00:00,19.5,16.2,17.0
2014-06-20 00:00:00+00:00,19.3,16.3,17.3
2014-06-21 00:00:00+00:00,20.2,16.1,17.4
2014-06-22 00:00:00+00:00,20.5,16.7,17.8
2014-06-23 00:00:00+00:00,18.9,17.1,17.7
2014-06-24 00:00:00+00:00,19.8,17.1,17.8
2014-06-25 00:00:00+00:00,19.6,17.3,18.1
2014-06-26 00:00:00+00:00,17.8,17.4,17.6
2014-06-27 00:00:00+00:00,18.0,16.8,17.5
2014-06-28 00:00:00+00:00,18.3,17.0,17.6
2014-06-29 00:00:00+00:00,18.7,17.0,17.8
2014-06-30 00:00:00+00:00,20.4,16.8,18.2
2014-07-01 00:00:00+00:00,21.8,17.7,19.2
2014-07-02 00:00:00+00:00,21.9,18.2,19.6
2014-07-03 00:00:00+00:00,20.5,18.5,19.3
2014-07-04 00:00:00+00:00,21.1,18.1,19.1
2014-07-05 00:00:00+00:00,21.3,18.7,19.6
2014-07-06 00:00:00+00:00,23.0,18.9,20.1
2014-07-07 00:00:00+00:00,23.1,19.4,20.6
2014-07-08 00:00:00+00:00,22.4,19.4,20.5
2014-07-09 00:00:00+00:00,21.3,19.0,19.9
2014-07-10 00:00:00+00:00,21.9,18.4,20.0
2014-07-11 00:00:00+00:00,21.3,18.9,20.2
2014-07-12 00:00:00+00:00,21.3,18.9,20.2
2014-07-13 00:00:00+00:00,20.7,18.9,19.9
2014-07-14 00:00:00+00:00,21.0,18.6,20.0
2014-07-15 00:00:00+00:00,21.8,18.9,20.3
2014-07-16 00:00:00+00:00,21.6,19.0,20.4
2014-07-17 00:00:00+00:00,22.2,19.2,20.6
2014-07-18 00:00:00+00:00,22.3,19.6,20.7
2014-07-19 00:00:00+00:00,23.0,19.9,21.2
2014-07-20 00:00:00+00:00,21.6,20.3,21.1
2014-07-21 00:00:00+00:00,23.5,18.4,21.0
2014-07-22 00:00:00+00:00,22.8,19.5,21.1
2014-07-23 00:00:00+00:00,21.5,19.0,20.7
2014-07-24 00:00:00+00:00,21.0,18.0,20.2
2014-07-25 00:00:00+00:00,22.7,17.7,20.5
2014-07-26 00:00:00+00:00,22.9,18.6,20.8
2014-07-27 00:00:00+00:00,23.1,19.0,21.0
2014-07-28 00:00:00+00:00,23.1,19.6,21.2
2014-07-29 00:00:00+00:00,22.6,19.8,21.3
2014-07-30 00:00:00+00:00,22.8,20.0,21.4
2014-07-31 00:00:00+00:00,23.0,20.5,21.8
2014-08-01 00:00:00+00:00,22.8,20.7,21.8
2014-08-02 00:00:00+00:00,22.9,20.9,21.7
2014-08-03 00:00:00+00:00,23.5,20.3,21.8
2014-08-04 00:00:00+00:00,23.8,21.2,22.2
