date,site_id,station_name,state,airtemp_observed,airtemp_min,airtemp_max,airtemp_mean,relative_humidity,relative_humidity_min,relative_humidity_max,relative_humidity_mean,soiltemp_2in_obs,soiltemp_8in_observed,soiltemp_20in_observed,soiltemp_2in_min,soiltemp_8in_min,soiltemp_20in_min,soiltemp_2in_max,soiltemp_8in_max,soiltemp_20in_max,soiltemp_2in_avg,soiltemp_8in_avg,soiltemp_20in_avg,totalprecip,SWE,SWE_change,SWE_max,snow_depth,snow_depth_change,wind_speed_max,wind_speed_avg,wind_direction_avg,solar_radiation,solar_radiation_min,solar_radiation_max,solar_radiation_avg
12/15/2022,316,Bateman,New Mexico,14.9,11.1,19.4,15.1,,,,,,,,,,,,,,,,,4.6,2.6,0,,11,0,,,,,,,
12/16/2022,316,Bateman,New Mexico,11.5,2.5,22.6,9.7,,,,,,,,,,,,,,,,,4.6,2.6,0,,10,-1,,,,,,,
12/17/2022,316,Bateman,New Mexico,8.6,5.7,28.2,15.1,,,,,,,,,,,,,,,,,4.6,2.6,0,,9,-1,,,,,,,
12/18/2022,316,Bateman,New Mexico,14.9,15.1,34.7,23.4,,,,,,,,,,,,,,,,,4.6,2.7,0.1,,10,1,,,,,,,
12/19/2022,316,Bateman,New Mexico,18,16.2,33.1,21.7,,,,,,,,,,,,,,,,,4.6,2.8,0.1,,10,0,,,,,,,
12/20/2022,316,Bateman,New Mexico,21.6,18.7,34.5,25.9,,,,,,,,,,,,,,,,,4.6,2.8,0,,10,0,,,,,,,
12/21/2022,316,Bateman,New Mexico,25.9,19,32.5,25.7,,,,,,,,,,,,,,,,,4.7,2.8,0,,9,-1,,,,,,,
12/22/2022,316,Bateman,New Mexico,21.2,16,31.8,23.7,,,,,,,,,,,,,,,,,4.7,2.8,0,,10,1,,,,,,,
12/23/2022,316,Bateman,New Mexico,23,22.3,35.6,27.5,,,,,,,,,,,,,,,,,4.7,2.8,0,,10,0,,,,,,,
12/24/2022,316,Bateman,New Mexico,25.9,20.7,41,29.3,,,,,,,,,,,,,,,,,4.7,2.8,0,,9,-1,,,,,,,
12/25/2022,316,Bateman,New Mexico,25.7,24.1,43.2,31.5,,,,,,,,,,,,,,,,,4.7,2.8,0,,9,0,,,,,,,
12/26/2022,316,Bateman,New Mexico,30.4,26.2,43.2,33.6,,,,,,,,,,,,,,,,,4.7,2.8,0,,9,0,,,,,,,
12/27/2022,316,Bateman,New Mexico,32,30.9,41.5,35.8,,,,,,,,,,,,,,,,,4.7,2.8,0,,9,0,,,,,,,
12/28/2022,316,Bateman,New Mexico,31.1,21.2,31.1,27.9,,,,,,,,,,,,,,,,,4.9,2.9,0.1,,10,1,,,,,,,
12/29/2022,316,Bateman,New Mexico,21.2,15.1,22.5,19.2,,,,,,,,,,,,,,,,,5.5,3.6,0.7,,15,5,,,,,,,
12/30/2022,316,Bateman,New Mexico,20.8,20.5,27,24.3,,,,,,,,,,,,,,,,,5.6,3.8,0.2,,17,2,,,,,,,
12/31/2022,316,Bateman,New Mexico,27,27,33.6,31.1,,,,,,,,,,,,,,,,,5.7,3.9,0.1,,16,-1,,,,,,,
1/1/2023,316,Bateman,New Mexico,30.7,28,34.9,31.6,,,,,,,,,,,,,,,,,5.9,4,0.1,,16,0,,,,,,,
1/2/2023,316,Bateman,New Mexico,29.8,21.6,29.8,24.3,,,,,,,,,,,,,,,,,6.2,4.3,0.3,,19,3,,,,,,,
