date,site_id,station_name,state,airtemp_observed,airtemp_min,airtemp_max,airtemp_mean,relative_humidity,relative_humidity_min,relative_humidity_max,relative_humidity_mean,soiltemp_2in_obs,soiltemp_8in_observed,soiltemp_20in_observed,soiltemp_2in_min,soiltemp_8in_min,soiltemp_20in_min,soiltemp_2in_max,soiltemp_8in_max,soiltemp_20in_max,soiltemp_2in_avg,soiltemp_8in_avg,soiltemp_20in_avg,totalprecip,SWE,SWE_change,SWE_max,snow_depth,snow_depth_change,wind_speed_max,wind_speed_avg,wind_direction_avg,solar_radiation,solar_radiation_min,solar_radiation_max,solar_radiation_avg
12/15/2022,394,Chamita,New Mexico,9.3,7,24.1,16.7,,,,,,,,,,,,,,,,,2.9,1.1,0,,4,0,,,,,,,
12/16/2022,394,Chamita,New Mexico,14.4,-1.5,20.5,9.5,,,,,,,,,,,,,,,,,2.9,1.2,0.1,,5,1,,,,,,,
12/17/2022,394,Chamita,New Mexico,2.5,1,25.5,12,,,,,,,,,,,,,,,,,2.9,1.2,0,,6,1,,,,,,,
12/18/2022,394,Chamita,New Mexico,11.1,8.4,36.7,21.4,,,,,,,,,,,,,,,,,2.9,1.2,0,,6,0,,,,,,,
12/19/2022,394,Chamita,New Mexico,14.2,9,34.7,19,,,,,,,,,,,,,,,,,2.9,1.2,0,,6,0,,,,,,,
12/20/2022,394,Chamita,New Mexico,14.2,11.8,37.4,23.9,,,,,,,,,,,,,,,,,2.9,1.2,0,,6,0,,,,,,,
12/21/2022,394,Chamita,New Mexico,24.6,13.8,36.7,25.5,,,,,,,,,,,,,,,,,2.9,1.2,0,,5,-1,,,,,,,
12/22/2022,394,Chamita,New Mexico,18.1,16.3,35.6,25.2,,,,,,,,,,,,,,,,,2.9,1.2,0,,5,0,,,,,,,
12/23/2022,394,Chamita,New Mexico,22.1,18,39.4,26.4,,,,,,,,,,,,,,,,,2.9,1.2,0,,5,0,,,,,,,
12/24/2022,394,Chamita,New Mexico,20.5,16.3,44.2,27.7,,,,,,,,,,,,,,,,,2.9,1.2,0,,5,0,,,,,,,
12/25/2022,394,Chamita,New Mexico,23.2,20.1,45.7,29.3,,,,,,,,,,,,,,,,,2.9,1.3,0.1,,6,1,,,,,,,
12/26/2022,394,Chamita,New Mexico,25,21.2,43.3,31.1,,,,,,,,,,,,,,,,,2.9,1.3,0,,5,-1,,,,,,,
12/27/2022,394,Chamita,New Mexico,28.8,25.7,45.7,35.2,,,,,,,,,,,,,,,,,2.9,1.3,0,,5,0,,,,,,,
12/28/2022,394,Chamita,New Mexico,33.3,22.6,35.1,30.6,,,,,,,,,,,,,,,,,3.1,1.5,0.2,,6,1,,,,,,,
12/29/2022,394,Chamita,New Mexico,24.6,10.9,29.8,21,,,,,,,,,,,,,,,,,3.9,2.4,0.9,,15,9,,,,,,,
12/30/2022,394,Chamita,New Mexico,18.5,18.5,29.7,25.3,,,,,,,,,,,,,,,,,4.1,2.6,0.2,,16,1,,,,,,,
12/31/2022,394,Chamita,New Mexico,26.6,26.4,36,31.8,,,,,,,,,,,,,,,,,4.2,2.8,0.2,,16,0,,,,,,,
1/1/2023,394,Chamita,New Mexico,32.9,31.5,37.2,33.8,,,,,,,,,,,,,,,,,4.4,3,0.2,,16,0,,,,,,,
1/2/2023,394,Chamita,New Mexico,32.2,24.4,32.2,27.1,,,,,,,,,,,,,,,,,4.9,3.6,0.6,,19,3,,,,,,,
1/3/2023,394,Chamita,New Mexico,24.8,20.5,27.1,23.5,,,,,,,,,,,,,,,,,5.1,3.8,0.2,,22,3,,,,,,,
1/4/2023,394,Chamita,New Mexico,20.5,10,26.2,19.8,,,,,,,,,,,,,,,,,5.3,4,0.2,,23,1,,,,,,,
1/5/2023,394,Chamita,New Mexico,11.8,8.1,36.5,22.1,,,,,,,,,,,,,,,,,5.3,4,0,,22,-1,,,,,,,
1/6/2023,394,Chamita,New Mexico,25.2,15.6,32.9,27.7,,,,,,,,,,,,,,,,,5.3,4,0,,21,-1,,,,,,,
1/7/2023,394,Chamita,New Mexico,19,12.7,36.7,21.4,,,,,,,,,,,,,,,,,5.5,4.2,0.2,,22,1,,,,,,,
1/8/2023,394,Chamita,New Mexico,16.3,13.5,38.7,22.6,,,,,,,,,,,,,,,,,5.5,4.2,0,,21,-1,,,,,,,
1/9/2023,394,Chamita,New Mexico,18.1,16.5,40.8,26.8,,,,,,,,,,,,,,,,,5.5,4.2,0,,20,-1,,,,,,,
1/10/2023,394,Chamita,New Mexico,29.8,27.9,40.8,31.8,,,,,,,,,,,,,,,,,5.5,4.3,0.1,,20,0,,,,,,,
1/11/2023,394,Chamita,New Mexico,30.4,12.6,35.1,25.9,,,,,,,,,,,,,,,,,5.5,4.3,0,,19,-1,,,,,,,
1/12/2023,394,Chamita,New Mexico,13.1,9.5,32.7,20.7,,,,,,,,,,,,,,,,,5.7,4.5,0.2,,21,2,,,,,,,
1/13/2023,394,Chamita,New Mexico,20.3,19.4,46.4,28.4,,,,,,,,,,,,,,,,,5.7,4.5,0,,21,0,,,,,,,
1/14/2023,394,Chamita,New Mexico,25.9,25.2,46.4,33.8,,,,,,,,,,,,,,,,,5.7,4.6,0.1,,20,-1,,,,,,,
1/15/2023,394,Chamita,New Mexico,31.8,25.3,31.8,28.9,,,,,,,,,,,,,,,,,5.8,4.7,0.1,,20,0,,,,,,,
1/16/2023,394,Chamita,New Mexico,25.5,23.5,32.4,27.1,,,,,,,,,,,,,,,,,6.7,5.7,1,,29,9,,,,,,,
1/17/2023,394,Chamita,New Mexico,29.5,20.7,35.1,27.7,,,,,,,,,,,,,,,,,7.1,6.1,0.4,,32,3,,,,,,,
1/18/2023,394,Chamita,New Mexico,20.7,19,27.1,22.6,,,,,,,,,,,,,,,,,7.6,6.7,0.6,,37,5,,,,,,,
1/19/2023,394,Chamita,New Mexico,19,7.5,30.9,17.1,,,,,,,,,,,,,,,,,8.1,7.1,0.4,,40,3,,,,,,,
1/20/2023,394,Chamita,New Mexico,16.2,14,31.8,20.8,,,,,,,,,,,,,,,,,8.1,7.1,0,,35,-5,,,,,,,
1/21/2023,394,Chamita,New Mexico,15.8,4.8,26.4,17.1,,,,,,,,,,,,,,,,,8.2,7.3,0.2,,36,1,,,,,,,
1/22/2023,394,Chamita,New Mexico,15.4,-1.7,28.9,16.5,,,,,,,,,,,,,,,,,8.2,7.3,0,,34,-2,,,,,,,
1/23/2023,394,Chamita,New Mexico,23.4,11.3,28.8,23,,,,,,,,,,,,,,,,,8.2,7.4,0.1,,34,0,,,,,,,
1/24/2023,394,Chamita,New Mexico,11.8,7.5,26.4,16.9,,,,,,,,,,,,,,,,,8.2,7.4,0,,33,-1,,,,,,,
1/25/2023,394,Chamita,New Mexico,10.4,-2,26.1,11.3,,,,,,,,,,,,,,,,,8.2,7.4,0,,32,-1,,,,,,,
1/26/2023,394,Chamita,New Mexico,1.8,-4.5,24.8,8.4,,,,,,,,,,,,,,,,,8.2,7.4,0,,32,0,,,,,,,
1/27/2023,394,Chamita,New Mexico,3.9,-0.4,29.7,14,,,,,,,,,,,,,,,,,8.2,7.4,0,,31,-1,,,,,,,
1/28/2023,394,Chamita,New Mexico,12.6,12.6,32.2,20.5,,,,,,,,,,,,,,,,,8.2,7.4,0,,30,-1,,,,,,,
1/29/2023,394,Chamita,New Mexico,14.5,11.5,36.5,21.9,,,,,,,,,,,,,,,,,8.2,7.5,0.1,,30,0,,,,,,,
1/30/2023,394,Chamita,New Mexico,21.6,16.5,36.3,25.5,,,,,,,,,,,,,,,,,8.2,7.5,0,,30,0,,,,,,,
1/31/2023,394,Chamita,New Mexico,19.6,8.8,36,24.1,,,,,,,,,,,,,,,,,8.2,7.5,0,,30,0,,,,,,,
2/1/2023,394,Chamita,New Mexico,12.2,7.3,33.1,18.5,,,,,,,,,,,,,,,,,8.2,7.5,0,,29,-1,,,,,,,
2/2/2023,394,Chamita,New Mexico,14.2,8.1,40.1,22.5,,,,,,,,,,,,,,,,,8.2,7.5,0,,29,0,,,,,,,
2/3/2023,394,Chamita,New Mexico,18.7,16,40.3,26.2,,,,,,,,,,,,,,,,,8.2,7.5,0,,28,-1,,,,,,,
2/4/2023,394,Chamita,New Mexico,23.9,18.1,43.2,28.2,,,,,,,,,,,,,,,,,8.2,7.5,0,,28,0,,,,,,,
2/5/2023,394,Chamita,New Mexico,21.2,19.9,44.4,30.7,,,,,,,,,,,,,,,,,8.2,7.5,0,,28,0,,,,,,,
2/6/2023,394,Chamita,New Mexico,30.9,19.6,39,28,,,,,,,,,,,,,,,,,8.2,7.6,0.1,,28,0,,,,,,,
2/7/2023,394,Chamita,New Mexico,25.7,14.4,37.8,24.1,,,,,,,,,,,,,,,,,8.2,7.6,0,,28,0,,,,,,,
2/8/2023,394,Chamita,New Mexico,14.4,8.2,36.5,21.4,,,,,,,,,,,,,,,,,8.2,7.6,0,,28,0,,,,,,,
2/9/2023,394,Chamita,New Mexico,19,4.8,34.7,18.3,,,,,,,,,,,,,,,,,8.2,7.6,0,,28,0,,,,,,,
2/10/2023,394,Chamita,New Mexico,6.1,3.4,30.7,16.9,,,,,,,,,,,,,,,,,8.3,7.7,0.1,,30,2,,,,,,,
2/11/2023,394,Chamita,New Mexico,19.2,15.6,44.2,29.7,,,,,,,,,,,,,,,,,8.3,7.8,0.1,,29,-1,,,,,,,
2/12/2023,394,Chamita,New Mexico,29.3,22.6,47.1,31.3,,,,,,,,,,,,,,,,,8.3,7.8,0,,29,0,,,,,,,
2/13/2023,394,Chamita,New Mexico,26.2,25.7,49.6,34,,,,,,,,,,,,,,,,,8.3,7.8,0,,28,-1,,,,,,,
2/14/2023,394,Chamita,New Mexico,28,24.4,29.7,26.8,,,,,,,,,,,,,,,,,8.6,8.1,0.3,,30,2,,,,,,,
2/15/2023,394,Chamita,New Mexico,25.3,10.2,26.1,18,,,,,,,,,,,,,,,,,9.3,8.8,0.7,,36,6,,,,,,,
2/16/2023,394,Chamita,New Mexico,11.5,1.2,24.3,12.2,,,,,,,,,,,,,,,,,9.4,8.9,0.1,,36,0,,,,,,,
2/17/2023,394,Chamita,New Mexico,3.2,0,35.1,16.9,,,,,,,,,,,,,,,,,9.4,8.9,0,,36,0,,,,,,,
2/18/2023,394,Chamita,New Mexico,12.7,11.8,37.9,24.6,,,,,,,,,,,,,,,,,9.4,9,0.1,,35,-1,,,,,,,
2/19/2023,394,Chamita,New Mexico,22.5,21.6,41.2,30,,,,,,,,,,,,,,,,,9.4,9,0,,34,-1,,,,,,,
2/20/2023,394,Chamita,New Mexico,27.7,23.5,44.4,32,,,,,,,,,,,,,,,,,9.4,9,0,,33,-1,,,,,,,
2/21/2023,394,Chamita,New Mexico,26.6,20.3,43.5,32.2,,,,,,,,,,,,,,,,,9.4,9.1,0.1,,32,-1,,,,,,,
2/22/2023,394,Chamita,New Mexico,31.1,14.7,32.9,24.4,,,,,,,,,,,,,,,,,9.6,9.3,0.2,,33,1,,,,,,,
