date,site_id,station_name,state,airtemp_observed,airtemp_min,airtemp_max,airtemp_mean,relative_humidity,relative_humidity_min,relative_humidity_max,relative_humidity_mean,soiltemp_2in_obs,soiltemp_8in_observed,soiltemp_20in_observed,soiltemp_2in_min,soiltemp_8in_min,soiltemp_20in_min,soiltemp_2in_max,soiltemp_8in_max,soiltemp_20in_max,soiltemp_2in_avg,soiltemp_8in_avg,soiltemp_20in_avg,totalprecip,SWE,SWE_change,SWE_max,snow_depth,snow_depth_change,wind_speed_max,wind_speed_avg,wind_direction_avg,solar_radiation,solar_radiation_min,solar_radiation_max,solar_radiation_avg
12/15/2022,1168,Taos Powderhorn,New Mexico,10.9,4.6,16.9,10.6,,,,,32,33,33,32,33,33,32,33,33,32,33,33,7.5,4.3,0,,19,-2,,,,,,,
12/16/2022,1169,Taos Powderhorn,New Mexico,4.6,-2.7,7.9,2.5,,,,,32,33,33,32,33,33,32,33,33,32,33,33,7.7,4.5,0.2,,21,2,,,,,,,
12/17/2022,1170,Taos Powderhorn,New Mexico,3.6,2.5,25.2,16.9,,,,,32,33,33,32,33,33,32,33,33,32,33,33,7.7,4.5,0,,20,-1,,,,,,,
12/18/2022,1171,Taos Powderhorn,New Mexico,19.9,15.3,27.9,20.8,,,,,32,33,33,32,33,33,32,33,33,32,33,33,7.7,4.5,0,,20,0,,,,,,,
12/19/2022,1172,Taos Powderhorn,New Mexico,16.9,13.8,26.8,19,,,,,32,33,33,32,33,33,32,33,33,32,33,33,7.7,4.5,0,,19,-1,,,,,,,
12/20/2022,1173,Taos Powderhorn,New Mexico,21.7,18,30,22.5,,,,,32,33,33,32,33,33,32,33,33,32,33,33,7.7,4.5,0,,19,0,,,,,,,
12/21/2022,1174,Taos Powderhorn,New Mexico,21,15.6,25.2,20.1,,,,,32,33,33,32,33,33,32,33,33,32,33,33,7.7,4.5,0,,19,0,,,,,,,
12/22/2022,1175,Taos Powderhorn,New Mexico,17.2,14.4,24.1,18.5,,,,,32,33,33,32,33,33,32,33,33,32,33,33,7.7,4.5,0,,19,0,,,,,,,
12/23/2022,1176,Taos Powderhorn,New Mexico,17.1,16.5,29.7,22.6,,,,,32,33,33,31,33,33,32,33,33,32,33,33,7.7,4.5,0,,18,-1,,,,,,,
12/24/2022,1177,Taos Powderhorn,New Mexico,19,18.9,32,24.6,,,,,32,33,33,31,33,33,32,33,33,32,33,33,7.7,4.5,0,,18,0,,,,,,,
12/25/2022,1178,Taos Powderhorn,New Mexico,25,22.3,35.4,29.3,,,,,31,33,33,31,33,33,31,33,33,31,33,33,7.7,4.5,0,,18,0,,,,,,,
12/26/2022,1179,Taos Powderhorn,New Mexico,28.9,25.3,35.6,30.4,,,,,31,33,33,31,32,32,31,33,33,31,33,32,7.7,4.5,0,,17,-1,,,,,,,
12/27/2022,1180,Taos Powderhorn,New Mexico,30.2,28.2,34.7,31.6,,,,,31,33,32,31,32,32,32,33,32,32,33,32,7.7,4.5,0,,17,0,,,,,,,
12/28/2022,1181,Taos Powderhorn,New Mexico,28.2,14.9,28.2,23.2,,,,,32,33,32,32,32,32,32,33,33,32,33,32,7.7,4.5,0,,17,0,,,,,,,
12/29/2022,1182,Taos Powderhorn,New Mexico,15.1,10.4,16.5,13.8,,,,,32,33,33,32,33,33,32,33,33,32,33,33,7.9,4.8,0.3,,19,2,,,,,,,
12/30/2022,1183,Taos Powderhorn,New Mexico,16.5,16.5,25,19.2,,,,,32,33,33,32,33,33,32,33,33,32,33,33,8.2,4.8,0,,19,0,,,,,,,
12/31/2022,1184,Taos Powderhorn,New Mexico,25,24.8,31.5,27.7,,,,,32,33,33,32,33,33,32,33,33,32,33,33,8.2,4.8,0,,18,-1,,,,,,,
1/1/2023,1185,Taos Powderhorn,New Mexico,26.8,24.3,30.9,27.3,,,,,32,33,33,32,33,33,32,33,33,32,33,33,8.3,4.9,0.1,,18,0,,,,,,,
